tag,h,x,y,quadrat,bottom.corrx,bottom.corry,top.corrx,top.corry,species,sp.num,stem.id,piece.id,windthrow,cut,decay,type,dbh,ht.m,top.dbh,end.dbh,length,notes,
30837,3,5,7,357,41.1,262.6,34,262.3,,,,A,N,N,2,lying whole,7.9,,,3.8,7.3,,
no tag,3,5,7,357,41.9,264.8,,,,,,A,N,N,3,stump,,,,,,,
30871,3,5,8,358,44.1,273.8,32.3,268.5,,,,A,N,N,2,lying whole,35.7,,,20.8,13.3,,
30915,3,4,7,347,36.8,269.6,42.6,268.3,,,,A,N,N,2,standing broken,8.5,,,3.3,6.2,connected,
30941,3,4,8,348,37.5,276.6,34.3,276.5,,,,A,N,N,3,lying broken,12.4,,,12.3,3.4,,
30941,3,4,8,348,34.6,277.7,31.6,275.7,,,,B,N,N,3,lying broken,12.3,,,9.7,2.9,,
30883,3,5,10,3510,49.4,292.5,45.9,283.1,,,,A,N,Y,2,lying broken,,,,13.8,9.7,,
30498,3,4,9,349,32,280.6,35,284,,,,A,N,N,3,lying broken,14.2,,,13.8,4.4,,
30498,3,4,9,349,34.6,285,35.5,285.8,,,,B,N,N,3,lying broken,13.5,,,12.9,1.3,,
30498,3,4,9,349,35,286.4,36.1,287,,,,C,N,N,3,lying broken,12.9,,,9.6,1.2,,
no tag,3,9,4,394,81.4,234.2,81.4,237,,,,A,N,N,3,lying whole,55.9,,,,2.5,,
31477,3,10,5,3105,95.5,245.7,93.1,245.5,,,,A,N,N,2,lying whole,4.7,,,4,2.4,,
31472,3,10,5,3105,98,243.5,,,,,,A,N,N,2,standing dead,11.2,,,,,,
31455,3,10,4,3104,95.5,237.6,,,,,,A,N,N,2,standing dead,10.7,4,,,,,
no tag,3,10,4,3104,94,238.7,94.3,235.3,,,,A,N,N,3,lying whole,8.3,,,5.9,3.1,,
31077,3,9,4,394,85.8,233.9,78.1,216.1,,,,A,N,N,3,lying broken,97,,,74.4,17.5,,
31077,3,8,2,382,77,215.2,79.5,212.2,,,,B,N,N,3,lying broken,60.5,,,55.5,3.6,,
31077,3,8,2,382,77.3,211.9,77,208.4,,,,C,N,N,3,lying broken,38.6,,,36,3.5,,
31077,3,8,1,381,80,210,78.7,209.7,,,,D,N,N,3,lying broken,37.4,,,37,1.2,,
31077,3,9,1,391,80.2,205.6,80.4,208.4,,,,E,N,N,3,lying broken,36.3,,,36.3,2.4,,
30618,3,6,1,361,53.5,200.3,,,,,,A,W,N,1,lying whole,45.3,,,,28,leaning,
30622,3,6,1,361,58.8,202.3,,,,,,A,W,N,1,lying whole,33,,,,20,leaning,
30528,3,7,1,371,62.7,204.4,61.7,205.4,,,,A,N,N,1,standing broken,37.1,3,30.7,,,,
30528,3,7,1,371,61.7,205.4,72.9,203.8,,,,B,N,N,1,standing broken,30.7,,,20.6,10.8,,
30624,3,6,1,361,53.9,202.1,54.7,202.9,,,,A,N,N,1,standing broken,32.4,4,25.7,,,,
30624,3,6,1,361,54.7,202.9,70.1,203.2,,,,B,N,N,1,standing broken,25.7,,,18.7,14.8,,
31169,3,7,10,3710,67.2,294.4,66,296.6,COFL2,22,,A,N,N,2,lying whole,7.9,,,7.5,2.8,,
no tag,3,10,10,31010,92.7,291.6,96.2,298.3,,,,A,N,N,3,lying whole,9.5,,,5.6,7.8,,
no tag,3,9,10,3910,87.8,297.4,92.9,294.6,,,,A,N,N,3,lying whole,12.4,,,8.9,6.1,,
no tag,3,10,9,3109,92.7,282.3,88.6,280.9,,,,A,N,N,3,lying whole,12.9,,,10.5,4.7,,
31340,3,8,9,389,72.2,289.5,,,,,,A,N,N,2,standing dead,20.9,,,,,,
31343,3,8,10,3810,73.8,290.9,,,,,,A,N,N,2,standing broken,9.7,3,,,,,
31343,3,8,10,3810,74.1,290.5,72,287.1,,,,B,N,N,2,standing broken,,,,4.9,,,
no tag,3,10,8,3108,97.6,276.6,94.1,274.9,CACA18,14,,A,N,N,3,lying broken,9,,,7.2,4.4,,
no tag,3,10,8,3108,94.1,274.9,97.8,272.7,CACA18,14,,B,N,N,3,lying broken,7.2,,,4.7,4.6,,
31614,3,10,7,3107,96.7,269.1,,,,,,A,N,N,2,standing dead,5.2,,,,,,
no tag,3,7,8,378,68,272.1,62.6,275.4,,,,A,N,N,3,lying whole,8.5,,,5.2,6.6,,
31137,3,7,8,378,67,272.1,69.8,274,,,,A,N,N,2,lying whole,8.9,,,8.2,3.8,,
31303,3,8,7,387,74,269.7,,,,,,A,N,N,3,stump,,,,,,,
31303,3,8,8,388,73.8,271.6,73.7,267.8,,,,B,N,N,3,lying broken,9.8,,,7.8,3.8,,
no tag,3,6,6,366,57.7,253.2,60.2,257.4,,,,A,N,N,3,lying whole,12.2,,,10,4.8,,
no tag,3,7,6,376,68.4,260.1,75.3,259.8,,,,A,N,N,3,lying whole,30.7,,,28,7.5,,
31120,3,7,7,377,61,264.1,60.7,264.7,,,,A,N,N,2,standing broken,9,1.5,9,,,,
31120,3,7,7,377,60.7,264.7,62.5,265.3,,,,B,N,N,2,standing broken,9,,,7.1,2.2,,
31129,3,7,7,377,66.2,261.5,65.5,261.7,,,,A,N,N,2,standing broken,8,2,6.6,,,,
31129,3,7,7,377,65.5,261.7,61.9,262.5,,,,B,N,N,2,standing broken,6.6,,,5,3.9,,
no tag,3,9,10,3910,,,79.2,314.2,,,,A,N,N,3,lying whole,28.3,,,10.4,14,,
40263,4,3,4,434,21.9,332.9,,,CACA18,14,1,A,N,N,3,stump,,,,,,,
40203,4,3,1,431,19.9,303,,,,,1,A,W,Y,1,lying cut,46.5,1.3,,,,,
40203,4,3,1,431,20.5,304.9,22.8,304.9,,,,B,W,Y,1,lying cut,46.5,,,39.7,2.3,,
40203,4,2,1,421,19.2,306.3,21,307.9,,,,C,W,Y,1,lying cut,43.8,,,40.5,2.5,,
40203,4,3,1,431,23.4,298.6,22.8,300.7,,,,D,W,Y,1,lying cut,39.1,,,38.4,2,,
40203,4,3,1,431,26.5,301.3,27.8,299.7,,,,E,W,Y,1,lying cut,39.1,,,37.6,2,,
40203,4,3,1,431,26.3,302.3,27.4,300.7,,,,F,W,Y,1,lying cut,38.9,,,35.6,2,,
40203,4,3,1,431,29.8,304.8,30,306,,,,G,W,Y,1,lying cut,38.2,,,37.7,1.5,,
40203,4,3,1,431,28.9,301.5,34.7,311.1,,,,H,W,Y,1,lying cut,36.1,,,32.3,10.4,,
40772,4,4,3,443,36.8,329.8,38.3,321.3,,,,A,N,N,2,standing broken,66,13,31.9,,,,
40772,4,4,3,443,38.3,321.3,38.3,325.8,,,,B,N,N,2,standing broken,31.9,,,30.2,4.2,,
40772,4,4,3,443,38.5,320.8,39.5,319.9,,,,C,N,N,2,standing broken,31.9,,,24.1,1.2,,
no tag,4,4,4,444,39.2,332,39.5,338.1,,,,A,N,N,2,lying whole,32.6,,,25.1,5.6,,
40782,4,4,4,444,41.6,336.5,,,,,,A,N,N,2,standing broken,3.5,2.5,,,,no top,
no tag,4,6,1,461,50.2,307.1,43.2,289.4,,,,A,N,N,3,lying whole,55.8,,,20.3,18.3,,
40633,4,2,10,4210,11.2,391.6,,,,,,A,N,N,2,standing dead,23.7,,,,,,
40626,4,2,9,429,13.6,388.9,14.4,388.6,,,,A,N,N,2,standing broken,20.1,2.3,19.3,,,,
40626,4,2,9,429,14.4,388.6,27.8,395.7,,,,B,N,N,2,standing broken,19.3,,,6.5,14.3,,
no tag,4,1,8,418,2,373.2,4.9,374.9,CACA18,14,,A,N,N,3,lying whole,17.2,,,15.8,3.2,,
40511,4,1,7,417,4.6,364.4,15.4,352.7,,,,A,N,N,2,lying broken,38.3,,,24.6,15.2,,
40511,4,2,6,426,,,19.3,349.9,,,,B,N,N,2,lying whole,22.3,,,17.8,1.8,,
40093,4,1,6,416,8.6,356.5,,,,,,A,N,N,2,standing dead,45.8,10.7,33.7,,,,
40093,4,2,6,426,13,359.8,14,357.9,,,,B,N,N,2,standing broken,33.7,,,29.2,1.5,,
40093,4,2,6,426,14.9,358.1,18.3,353.8,,,,C,N,N,2,standing broken,28.9,,,17.7,5.2,,
40327,4,2,6,426,19.3,353.7,26.1,360.1,,,,A,N,N,3,lying whole,12.5,,,10.8,8.7,,
40501,4,1,7,417,2.2,361.2,8.3,353.7,,,,A,N,N,2,lying whole,32.8,,,24.7,9,,
40501,4,1,6,416,2.5,355.2,3.9,355.1,,,,B,N,N,2,lying whole,24.7,,,23.4,1.5,,
40501,4,1,6,416,2.2,355.9,1.7,356.2,,,,C,N,N,2,lying whole,26,,,25,0.7,,
40501,4,1,6,416,1.9,357,0.9,357.4,,,,D,N,N,2,lying whole,22.2,,,22.1,1.2,,
40501,4,1,6,416,1.5,359.7,,,,,,E,N,N,2,lying whole,21.6,,,20.4,0.9,,
no tag,4,5,6,456,44,354.6,42.9,357,,,,A,N,N,3,lying whole,10.9,,,10.5,2.7,,
41351,4,5,10,4510,41.4,393.9,,,,,,A,N,N,1,standing dead,8,,,,,,
41230,4,4,8,448,33.1,375.1,34.1,369.1,,,,A,N,Y,2,lying whole,12.2,,,6.7,5.5,,
40990,4,5,7,457,47.7,366.7,37.1,368.6,,,,A,N,N,3,lying whole,31.6,,,14.9,10.3,,
40997,4,5,8,458,48.8,370.3,,,,,,A,N,N,3,standing dead,17.7,,,,,,
41306,4,5,8,458,49,374.6,,,,,,A,N,N,3,stump,,,,,,,
no tag,4,5,8,458,42.1,371.4,52.6,368.1,,,,A,N,N,3,lying whole,20.2,,,14.3,10.4,,
no tag,4,1,6,416,5,351,,,,,,A,N,N,3,stump,,,,,,,
41106,4,6,5,465,58,347.9,,,,,,A,N,N,3,standing dead,21.8,2.4,,,,no top,
no tag,4,7,5,475,70,343,,,,,,A,N,N,3,stump,,,,,,,
no tag,4,6,4,464,58.2,335.9,45.3,331.4,,,,A,N,N,3,lying whole,49,,,19.7,12,,
no tag,4,7,4,474,64.1,337.1,69.5,340.5,COFL2,22,,A,N,N,2,lying whole,10,,,5.4,6.3,,
41657,4,8,4,484,75.8,333.9,,,,,,A,N,N,2,standing broken,54,5,44.2,,,,
41657,4,8,4,484,73.8,331.4,59.4,325.5,,,,B,N,N,2,standing broken,44.2,,,32.7,15.3,,
41657,4,6,3,463,58.2,324.7,55.5,324,,,,C,N,N,2,standing broken,33.4,,,23.2,2.7,,
40866,4,6,3,463,55.5,325.1,53.9,307.6,,,,A,W,N,1,standing broken,58.8,,,24.7,16.5,,
40862,4,6,2,462,53.4,315.5,,,,,,A,W,N,1,standing broken,34.6,,,22.7,16.1,,
40857,4,6,1,461,52,310,,,,,,A,W,N,1,standing broken,20,,,10.5,9.1,,
41634,4,8,2,482,71.9,317.7,72.1,319.4,,,,A,N,N,2,standing broken,26.1,12,18.1,,,,
41634,4,8,2,482,72.1,319.4,66.4,324,,,,B,N,N,2,standing broken,18.1,,,10.1,7.1,,
41017,4,7,3,473,67.6,324.1,89.8,330.9,,,,A,N,N,2,lying whole,31.6,,,12.1,23.2,,
41646,4,8,3,483,75.3,325.8,70.9,324.3,,,,A,N,N,2,lying whole,4.6,,,2.6,4.6,,
41500,4,10,3,4103,92.9,327.4,91.4,323.3,,,,A,N,N,2,lying whole,5.7,,,5.5,4.1,,
no tag,4,10,2,4102,94.6,319.4,93.1,323.2,,,,A,N,N,3,lying whole,6.9,,,5.2,3.8,,
41548,4,9,2,492,87.5,319.1,91.6,313,,,,A,N,N,3,lying whole,21.7,,,21.1,6.9,,
41490,4,10,2,4102,94,314.8,87.8,305.1,,,,A,N,N,3,lying whole,56.9,,,46,10.9,,
no tag,4,6,9,469,58.7,388.1,54.5,398.7,,,,A,N,N,3,lying whole,43,,,42.4,10.7,,
no tag,4,6,9,469,57.4,387.8,,,,,,A,N,N,3,lying whole,37,,,19.4,24.5,,
41135,4,6,8,468,52.7,374,51.1,373.6,,,,A,N,N,2,standing broken,45.6,5,35.8,,,,
41135,4,6,8,468,51.1,373.6,52.6,378.2,,,,B,N,N,2,standing broken,35.8,,,31.3,4.3,,
41135,4,6,9,469,51,383.1,49,387.8,,,,C,N,N,2,standing broken,29,,,28.2,5,,
41135,4,5,9,459,50.2,387.3,49.3,388.1,,,,D,N,N,2,standing broken,23.2,,,21,1.3,,
no tag,4,6,7,467,53.1,363.6,61.3,376.8,,,,A,N,N,3,lying whole,21.3,,,8,15.2,,
no tag,4,7,8,478,64.3,376.8,58.3,373,,,,A,N,N,3,lying whole,20,,,11.1,7.1,,
41077,4,7,7,477,66.7,369.9,64.1,375.1,,,,A,N,N,3,lying whole,28.3,,,25,5.4,,
41901,4,8,7,487,72.2,372.1,,,,,,A,N,N,2,standing dead,35.5,,,,,,
41083,4,7,8,478,67.2,376.3,69.3,379.2,,,,A,N,N,1,standing broken,3.5,,,2.4,3.5,,
no tag,4,7,8,478,69.2,375.7,,,,,,A,N,N,3,stump,,,,,,,
41906,4,8,7,487,77.5,371,60.2,380.6,,,,A,N,N,2,lying whole,35.2,,,22.3,19.5,,
41075,4,7,7,477,67.3,366.6,59.1,357.9,,,,A,N,N,3,lying whole,32.2,,,15.2,11.8,,
41067,4,7,6,476,62.9,359.2,,,,,,A,N,N,2,lying whole,24.3,,,20.4,12.5,,
41686,4,8,7,487,74.9,361.8,,,,,,A,N,N,2,standing broken,4,3.5,,,,,
no tag,4,8,10,4810,78.8,399.1,,,,,,A,N,N,3,lying whole,31.6,,,12.7,10.9,,
41459,4,7,10,4710,66.4,399.4,69.1,397.7,,,,A,N,N,3,standing broken,22.9,6,18.5,,,,
41459,4,7,10,4710,69.1,397.7,75.5,395.2,,,,B,N,N,3,standing broken,18.5,,,15,7,,
no tag,4,7,10,4710,66.8,396.5,67.7,397.6,,,,A,N,N,3,lying broken,15.6,,,14.5,1.4,,
no tag,4,7,10,4710,67.7,397.6,65.2,400.4,,,,B,N,N,3,lying broken,14.5,,,14.2,4,,
41934,4,8,10,4810,76.2,390.9,78.9,391.9,,,,A,N,N,2,standing broken,49.8,11,40.4,,,,
41934,4,8,10,4810,78.9,391.9,,,,,,B,N,N,2,standing broken,40.4,,,24.6,18.4,,
41871,4,9,10,4910,,,81.6,390.9,,,,A,N,N,1,standing broken,24.1,6,16.6,,,,
41871,4,9,10,4910,81.6,390.9,85.2,398,,,,B,N,N,1,standing broken,16.6,,,9.2,7.7,,
no tag,4,10,7,4107,97.5,364.8,,,,,,A,N,N,3,stump,,,,,,,
no tag,4,9,8,498,84.6,370.3,,,,,,A,N,N,3,stump,,,,,,,
no tag,4,10,9,4109,95.5,385.6,,,,,,A,N,N,3,lying whole,21.5,,,14,15.6,,
80339,4,10,9,4109,92.7,388,94.4,387.6,,,,B,N,N,1,standing broken,59.4,,,53.7,1.8,,
80339,4,10,9,4109,94.9,388,95.2,374.3,,,,C,N,N,1,standing broken,49.7,,,32.5,12.7,,
61008,5,9,10,5910,,,,,,,,B,N,N,2,standing broken,48.2,,,45.3,2,,
61008,5,9,10,5910,,,,,,,,C,N,N,2,standing broken,35.7,,,28,9.5,,
no tag,5,10,5,5105,,,,,,,,B,N,N,3,lying broken,46.2,,,36.4,5.3,,
50193,5,1,5,515,109.6,44.1,,,,,,A,N,N,2,standing dead,2.4,,,,,,
50194,5,1,5,515,109.6,44.1,,,,,,A,N,N,2,standing dead,3.2,,,,,,
50071,5,3,5,535,127.4,41.7,129.8,42.5,,,,A,N,N,2,lying whole,5,,,3.3,2.8,,
no tag,5,4,4,544,133.6,32.5,,,,,,A,N,N,3,stump,,,,,,,
50651,5,4,5,545,134.6,46.3,,,,,,A,N,N,2,standing dead,1.7,,,,,,
50652,5,4,5,545,134.6,46.3,,,,,,A,N,N,2,standing dead,1.4,,,,,,
no tag,5,4,6,546,139.5,52.6,136.2,45,,,,A,W,N,3,lying whole,31.1,,,30.9,7.6,,
50401,5,5,1,551,142.6,7.6,141,12.2,COFL2,22,,A,N,N,2,lying whole,8.1,,,5.5,4.6,,
50402,5,5,1,551,145.7,2.6,,,,,,A,N,N,3,standing dead,48.3,,,,,,
50103,5,2,1,521,112.8,5.4,,,,,,A,N,N,2,standing dead,4.4,,,,,,
no tag,5,1,1,511,102,5.7,102.8,13.1,,,,A,N,N,3,lying whole,7.3,,,4.9,7.7,,
50007,5,1,1,511,101.7,8.7,104.1,11.7,,,,A,N,N,1,lying whole,5.3,,,4.9,4.2,stump sprouts,
50343,5,2,9,529,114.7,82.8,,,,,,A,N,N,3,stump,,,,,,,
50901,5,3,10,5310,126.7,93.8,,,,,,A,N,N,3,standing broken,19,2.1,,,,no top,
no tag,5,3,9,539,126.8,88.1,125.7,85.9,,,,A,N,N,3,lying whole,5.7,,,4.6,2.4,,
50592,5,4,10,5410,139.6,95.2,139.5,97.1,,,,A,N,N,3,standing broken,22.8,5,17.1,,,,
50592,5,4,10,5410,139.5,97.1,139.2,99.6,,,,B,N,N,3,standing broken,17.1,,,16,2.7,,
50592,5,4,10,5410,137,97.2,138.4,98.3,,,,C,N,N,3,standing broken,15.4,,,15.2,2,,
50961,5,5,10,5510,145.8,90.3,,,,,,A,N,N,2,standing dead,3.9,,,,,,
no tag,5,5,8,558,146.1,78.8,,,,,,A,W,N,3,lying whole,58.4,,,51.8,13,,
no tag,5,5,8,558,147,74.3,145,58.7,,,,A,N,N,3,lying whole,59.6,,,31.2,15.1,,
no tag,5,6,6,566,,,149.3,40.8,,,,A,N,N,3,lying whole,43.6,,,18.9,2,,
no tag,5,6,5,565,153.5,45.8,144.5,48.7,,,,A,N,N,3,lying broken,31.5,,,23.6,9.6,,
no tag,5,5,5,555,145,49.1,146.9,49.8,,,,B,N,N,3,lying broken,22.6,,,19.9,2.4,,
no tag,5,6,4,564,153.3,33.1,,,,,,A,N,N,3,standing broken,36.7,1.3,,,,no top,
no tag,5,8,5,585,177.4,41.4,176.8,37.8,,,,A,N,N,3,lying whole,18,,,,,,
no tag,5,9,4,594,,,181.1,37.6,,,,A,N,N,3,lying whole,14,,,12,5.6,,
53663,5,8,4,584,179.4,37.2,,,,,,A,N,N,2,standing dead,10.5,,,,,,
53840,5,9,4,594,182.4,37.5,,,,,,A,N,N,2,standing dead,3,,,,,,
53841,5,9,4,594,181.9,37,,,,,,A,N,N,2,standing dead,7.3,,,,,,
53842,5,9,4,594,181.2,37,,,,,,A,N,N,2,standing dead,22,,,,,,
no tag,5,7,3,573,162.6,23.3,169,23.3,,,,A,N,N,3,lying whole,33.8,,,10.5,6.3,,
50871,5,7,4,574,169.6,39.8,167.7,48.7,,,,A,N,N,2,lying whole,12.2,,,6.8,8.8,,
51161,5,9,3,593,185,21.1,,,,,,A,N,N,2,stump,,,,,,,
no tag,5,9,2,592,183,17.8,196.2,8.4,,,,A,N,N,3,lying whole,37.1,,,27.4,16.1,,
51208,5,9,1,591,188.9,9.2,,,,,,A,N,N,2,standing dead,4.3,,,,,,
50898,5,10,1,5101,197.4,2.1,,,,,,A,N,N,3,standing dead,20.2,,,,,,
51127,5,8,1,581,171.9,9,,,,,,A,N,N,2,standing dead,9.5,,,,,,
50804,5,7,1,571,169.3,0.5,170.4,6.2,COFL2,22,,A,N,N,3,lying whole,7.5,,,4.7,5.4,,
50807,5,7,1,571,163.1,3.8,,,,,,A,N,N,3,stump,44.5,2,,,,,
50495,5,6,1,561,154.1,6.8,,,,,,A,N,N,3,standing broken,69.4,,,,,no top,
no tag,5,8,10,5810,175.9,98.2,168.7,94.2,,,,A,N,N,3,lying whole,8.4,,,2,8.8,,
no tag,5,8,10,5810,174.6,94.4,177.5,93.9,,,,A,N,N,3,lying whole,5.1,,,3.8,3.4,,
no tag,5,6,9,569,156.2,82.3,164.6,82.1,,,,A,W,N,3,lying whole,31.5,,,31.3,8.3,,
no tag,5,6,8,568,158.8,79.3,174.3,78.5,,,,A,W,N,3,lying whole,45.4,,,30.2,15.6,,
53952,5,6,7,567,158.1,68.3,,,,,,A,N,N,2,standing dead,11.5,,,,,,
no tag,5,7,8,578,160.4,70.5,,,,,,A,N,N,3,stump,,,,,,,
51361,5,8,7,587,175.8,68.8,178.3,82.9,,,,A,N,N,2,lying whole,19.8,,,9.2,13.9,,
51258,5,8,9,589,174.3,88.1,,,,,,A,N,N,2,standing dead,20.5,,,,,,
50753,5,9,10,5910,188.1,96,179.3,93.3,,,,A,N,N,3,lying whole,22.8,,,10.3,9.5,,
50271,5,10,10,51010,194.3,97.7,,,,,,A,N,N,3,standing dead,11.4,,,,,leaning,
50267,5,10,10,51010,190.8,93.9,,,,,,A,N,N,3,stump,7.8,1.3,,,,,
53660,5,10,8,5108,191.7,75.7,192.3,75.1,,,,A,N,N,3,standing broken,13.6,3,10,,,,
53660,5,10,8,5108,192.3,75.1,195,74.3,,,,B,N,N,3,standing broken,10,,,6.6,2.7,,
51031,5,9,9,599,189.3,89.4,,,,,,A,N,N,3,standing broken,49.5,5,24.7,,,,
51031,5,9,9,599,187.9,87.5,200.2,90.6,,,,B,N,N,3,standing broken,24.7,,,18.4,12.6,,
no tag,5,10,9,5109,198.8,81.7,181.6,83.2,,,,A,W,N,3,lying whole,20.8,,,10.3,17.6,,
53566,5,10,7,5107,190.4,68.9,192.8,60.4,,,,A,N,N,3,lying whole,29.3,,,22.2,8.3,,
53882,5,9,6,596,788.1,50,178.2,56.2,,,,A,N,N,2,lying whole,19,,,3.7,11.6,,
70002,6,1,10,6110,106.9,199.1,,,,,,B,N,N,2,standing broken,28.9,,,23.9,,,
70002,6,1,10,6110,,,,,,,,C,N,N,2,standing broken,23.9,,,22.7,,,
70002,6,1,10,6110,,,,,,,,D,N,N,2,standing broken,19.8,,,19.3,,,
60060,6,1,5,615,103.3,142.1,,,,,,A,N,N,2,standing dead,8.9,,,,,,
no tag,6,1,5,615,105.3,146.9,102,125.7,,,,A,N,N,2,lying whole,77.9,,,39,19.4,,
60173,6,2,5,625,117.3,149.8,112.4,152.6,,,,A,N,N,2,lying broken,22.5,,,19.6,4.8,,
60173,6,2,6,626,111.3,152.7,110,154.1,,,,B,N,N,2,lying broken,17.3,,,17,1.9,,
60173,6,1,6,616,110,155.4,109.1,154.5,,,,C,N,N,2,lying broken,15,,,14.6,1.2,,
60173,6,1,6,616,107,155.6,107.5,157.1,,,,D,N,N,2,lying broken,14.2,,,13.9,1.8,,
60173,6,1,6,616,106.8,157.4,106.3,158.7,,,,E,N,N,2,lying broken,13.5,,,13.2,1.3,,
60173,6,1,6,616,106.5,159.8,105.9,161.1,,,,F,N,N,2,lying broken,10.8,,,10.6,1.4,,
60179,6,2,7,627,114.1,162.5,113.8,149.8,,,,A,N,N,2,lying whole,53.5,,,44,11.6,,
60390,6,4,5,645,132.3,145.7,120.5,144.1,,,,A,N,N,3,lying whole,17.2,,,15,11.8,,
60393,6,4,5,645,132.9,145.8,,,,,,A,N,N,2,standing dead,16.2,,,,,,
60453,6,3,5,635,124.4,142.4,123.9,137.8,CACA18,14,,A,N,N,3,lying whole,9.1,,,8.3,4.2,,
no tag,6,2,4,624,111.9,138.9,102.8,136.1,,,,A,N,N,2,lying whole,15.6,,,10,9.5,,
60054,6,1,4,614,102.1,136.5,,,,,,A ,N,N,3,standing broken,20,3,,,,no top,
60138,6,2,4,624,114.8,131,110.2,129.8,COFL2,22,,A,N,N,2,lying whole,4.6,,,3.5,4.6,,
60430,6,3,3,633,122.9,121.9,,,CACA18,14,,A,N,N,2,stump,,,,,,,
no tag,6,1,3,613,109.5,122.4,112.2,121.8,,,,A,N,N,2,lying broken,17.8,,,17.7,2.9,,
no tag,6,2,3,623,112.2,121.8,115.8,113.4,,,,B,N,N,2,lying broken,17.7,,,8.7,8.8,,
no tag,6,2,2,622,113.1,115.9,110.5,100.4,,,,A,N,N,3,lying whole,23.4,,,18.2,15.3,,
no tag,6,1,2,612,101.6,113.7,,,,,,A,N,N,3,stump,,,,,,,
no tag,6,5,1,651,140.1,101.9,,,,,,A,N,N,3,stump,,,,,,,
no tag,6,2,10,6210,115.8,193.8,119.9,200.7,,,,A,N,N,2,lying whole,12.7,,,4,7.5,,
no tag,6,4,10,6410,132.8,199.6,134.4,181.5,,,,A,N,N,3,lying whole,94.6,,,20.3,16.5,,
60321,6,2,9,629,118.2,186.2,122.2,187.6,,,,A,N,N,2,lying broken,11.1,,,10.1,4.4,,
60321,6,3,9,639,122.2,187.6,120.3,185.3,,,,B,N,N,2,lying broken,10.1,,,4.5,2.9,,
60291,6,1,10,6110,108.2,199,108.7,198.3,,,,A,N,N,2,standing broken,16,1.4,14.6,,,,
60291,6,1,10,6110,108.7,198.3,104.7,189.4,,,,B,N,N,2,standing broken,14.6,,,13,8.9,,
60282,6,1,10,6110,107.7,194.4,108.7,191.4,,,,A,N,N,2,standing broken,42.3,8,36.9,,,,
60282,6,1,10,6110,108.7,191.4,111,187.2,,,,B,N,N,2,standing broken,36.9,,,34.2,4.4,,
60282,6,1,9,619,109.5,186.2,110.1,174.4,,,,C,N,N,2,standing broken,32.1,,,20.7,10.7,,
60261,6,1,9,619,109.6,184.8,104.4,184.3,,,,A,N,N,1,lying whole,5.5,,,2.7,5,,
60255,6,1,9,619,107.7,181.2,104.6,181.4,,,,A,N,N,1,lying whole,4.6,,,3.4,3.2,,
60243,6,1,8,618,103.8,175.4,106.8,180.1,,,,A,N,N,1,lying whole,10.5,,,4.4,4.9,leaning,
60233,6,1,8,618,103.9,171.3,104.9,177.3,,,,A,N,N,1,lying whole,6.5,,,3.7,5.6,,
no tag,6,3,7,637,121.3,169.4,111.2,171.4,,,,A,N,N,3,lying whole,15.8,,,10.7,10.1,,
60207,6,1,7,617,103.2,161.7,,,,,,A,N,N,1,standing dead,2.2,,,,,leaning,
60227,6,1,7,617,107.6,168,,,,,,A,N,N,1,lying whole,74.9,,,49.2,22.3,,
60604,6,4,6,646,131.6,157,138.4,151.2,,,,A,N,N,2,lying whole,11.6,,,4.5,8.5,,
60782,6,5,8,658,145.7,171,147.5,162.8,,,,A,N,N,2,lying whole,13.2,,,5.2,8.4,,
60617,6,4,7,647,138.4,168.8,141,164.7,,,,A,N,N,2,lying whole,11,,,9.3,4.6,,
60613,6,4,7,647,133.7,167.8,134.1,166.9,,,,A,N,N,2,standing broken,13.3,2,11,,,,
60613,6,4,7,647,134.1,166.9,137.9,164.4,,,,B,N,N,2,standing broken,11,,,10.8,4.6,,
no tag,6,5,10,6510,139.9,198.8,,,,,,A,N,N,3,lying whole,39.2,,,25.6,12.8,,
60958,6,7,5,675,164.8,144.7,163.5,150.7,,,,A,N,N,2,lying whole,11.5,,,8.5,5.5,,
60950,6,7,5,675,168.9,140.6,173.8,139.5,,,,A,N,N,3,lying whole,18.8,,,11.1,4.9,,
no tag,6,6,4,664,156.8,133.6,156.9,129.6,,,,A,N,N,3,lying whole,9.6,,,6.8,3.9,,
no tag,6,7,4,674,163.6,133.2,173.3,126.5,,,,A,N,N,3,lying whole,28.2,,,17.4,11.4,,
no tag,6,7,4,674,168.4,133.9,174.1,127,,,,A,N,N,3,lying broken,39.1,,,39,8.6,,
no tag,6,9,3,693,180.6,124.4,175.5,126.6,,,,B,N,N,3,lying broken,37.2,,,35,5.4,,
61032,6,8,3,683,177,125.4,,,,,,A,N,N,2,standing dead,17.6,,,,,,
no tag,6,8,2,682,172.9,117.8,,,,,,A,N,N,3,stump,,,,,,,
61015,6,8,1,681,179.9,109.5,,,,,,A,N,N,2,standing dead,29.3,,,,,,
61010,6,8,1,681,177.4,106.7,,,,,,A,N,N,2,stump,,,,,,,
61011,6,8,1,681,177.4,106.7,,,,,,A,N,N,2,stump,,,,,,,
61008,6,8,1,681,173.6,104.3,,,,,,A,N,N,2,standing broken,76.9,,48.2,,,top?,
no tag,6,7,1,671,168.2,104.6,167.8,100.8,,,,A,N,N,3,lying whole,12,,,8.2,3.4,,
60686,6,6,2,662,152.8,117.4,,,,,,A,N,N,2,standing dead,13.1,,,,,,
