tag,h,x,y,quadrat,bottom.corrx,bottom.corry,top.corrx,top.corry,species,sp.num,stem.id,piece.id,windthrow,cut,decay,type,dbh,ht.m,top.dbh,end.dbh,length,notes,
no tag,1,4,9,149,37.8,82.9,,,,,,A,N,N,3,stump,,,,,,,
no tag,1,4,9,149,38.6,84.3,50.5,95.5,,,,A,W,N,3,lying whole,34.4,,,20.2,17.2,,
no tag,1,4,9,149,39.2,82.8,50,90.2,,,,A,W,N,3,lying whole,32.6,,,24.4,22.9,,
no tag,1,4,9,149,32.3,83.4,36.6,100.1,,,,A,W,N,3,lying whole,55.4,,,31,22.4,,
10384,1,4,9,149,30.8,82.1,,,ARSP2,,,A,N,N,2,standing dead,2.7,,,,,,
10688,1,4,9,149,31.8,83.1,,,,,,A,N,N,2,standing dead,1.7,,,,,,
10628,1,6,4,164,54.7,38,,,,,,A,N,N,3,standing broken,24.7,2.8,20.8,,,,
10628,1,6,4,164,54.6,38.9,54.3,44.7,,,,B,N,N,3,standing broken,20.8,,,14.3,6.2,,
10627,1,6,4,164,54.1,36.7,54,38.4,,,,A,N,N,2,standing dead,1.4,,,,,,
10572,1,7,5,175,61.9,47.4,,,,,,A,N,N,3,standing broken,39.8,9.1,31.8,,,,
10572,1,7,5,175,61.1,49.6,59.1,49.9,,,,B,N,N,3,standing broken,31.8,,,27.7,2.5,,
10570,1,7,5,175,67.7,46.3,,,,,,A,N,N,2,standing dead,16.2,,,,,,
no tag,1,8,4,184,74.1,37,74,45.8,,,,A,N,N,3,lying whole,39.7,,,19.3,9.1,,
no tag,1,8,4,184,78.1,37.2,85.8,43.8,,,,A,N,N,3,lying whole,13.4,,,5.6,10.7,,
11014,1,8,4,184,76.3,32.3,,,,,,A,N,N,3,standing dead,31.8,,,,,,
11015,1,8,4,184,71.1,32.3,,,,,,A,N,N,2,standing broken,17.6,4,,,,no top,
no tag,1,9,4,194,81.8,36.9,,,,,,A,N,N,3,stump,,,,,,,
10871,1,9,4,194,84,30.7,,,,,,A,N,N,3,standing broken,13.3,1.3,,,,no top,
no tag,1,6,3,163,54.3,26.3,42.8,41.3,,,,A,W,N,3,lying whole,35.3,,,19.2,14.3,,
10555,1,7,3,173,66.2,22.1,,,,,,A,N,N,1,standing broken,55.8,17,38.6,,,,
10555,1,7,3,173,69.9,21.3,60,23.6,,,,B,N,N,1,standing broken,38.6,,,13,10.9,,
10554,1,7,3,173,62.4,21.1,,,,,,A,N,N,2,standing broken,9.2,1.7,,,,no top, 
10610,1,6,2,162,58.5,14.4,,,,,,A,N,N,3,standing broken,68.9,15,43.3,,,,
10610,1,6,2,162,55.6,13.9,55.8,16.4,,,,B,N,N,3,standing broken,43.3,,,43.3,2.5,"end very decayed, using only 1 dbh",
