QUADNAME,TAG,STEMTAG,SPCODE,QX,QY,DBH,BDS.2021,PIECE.2021,INTEGRITY.2021,DECAYCLASS.2021,GC.2021,HEIGHT.2021,TOPDIAM.2021,DBH.2021,LENGTH,ANGLE,DIRECTION,HOM,CODES.2019,PX,PY
195,10889,10889,FRPE,8.2,6.8,24.4,,,,,,,,,,,,1.3,DS,88.2,46.8
196,10898,10898,FRPE,8.3,2.5,22.7,,,,,,,,,,,,1.3,DS,88.3,52.5
196,11208,11208,FRPE,8.7,8,12.1,,,,,,,,,,,,1.3,DS,88.7,58
197,11209,11209,FRPE,2.7,1.7,48.6,,,,,,,,,,,,1.28,DS,82.7,61.7
197,11211,11211,FRPE,2.5,2,22.5,,,,,,,,,,,,1.3,DS;X,82.5,62
197,11212,11212,FRPE,5.4,2.4,46.1,,,,,,,,,,,,1.3,DS,85.4,62.4
197,11214,11214,FRPE,5.1,5.8,13.9,,,,,,,,,,,,1.32,DS;X;A;IR,85.1,65.8
198,11061,11061,FRPE,0.4,4.9,12.2,,,,,,,,,,,,1.3,DS;G;XY,80.4,74.9
231,20313,20313,COFL2,9.8,5.8,10.3,,,,,,,,,,,,1.3,DS;L,29.8,105.8
231,20314,20314,COFL2,10,8.6,10.5,,,,,,,,,,,,1.3,DS,30,108.6
237,20354,20354,QUAL,1.4,3.2,58.6,,,,,,,,,,,,1.3,DS;X,21.4,163.2
241,21527,21527,FAGR,8.2,5.7,11.6,,,,,,,,,,,,1.3,DS,38.2,105.7
244,21541,21541,QURU,0.4,4.7,38.8,,,,,,,,,,,,1.3,DS,30.4,134.7
245,20277,20277,CAGL8,4.6,8.2,10.6,,,,,,,,,,,,1.3,DC,34.6,148.2
246,20288,20288,JUVI,1.1,8.3,23.9,,,,,,,,,,,,1.3,DC;MT,31.1,158.3
262,20708,20708,CARYA,3.9,1.8,36.6,,,,,,,,,,,,1.3,DS;X,53.9,111.8
295,20980,20980,LIST2,8.2,9.4,22.4,,,,,,,,,,,,1.3,DS;L;Q,88.2,149.39999
296,20994,20994,QUVE,9.7,6.1,65.1,,,,,,,,,,,,1.3,DS,89.7,156.10001
321,30103,30103,CACA18,8.4,2.5,12.2,,,,,,,,,,,,1.3,DS;X,18.4,202.5
325,30145,30145,UNKN,1.5,4.6,25.8,,,,,,,,,,,,1.3,DS;L,11.5,244.60001
325,30154,30154,LITU,9,8.5,19.2,,,,,,,,,,,,1.3,DS;Q,19,248.5
331,30202,30202,FRAM2,2.2,1.4,33.8,,,,,,,,,,,,1.3,DS,22.2,201.39999
333,30225,30225,FRPE,6.1,9.1,30.3,,,,,,,,,,,,1.3,DS,26.1,229.10001
333,30227,30227,FRAM2,3.2,7.1,40.3,Snag,A,,1,,23,,40.1,,,,1.3,DS,23.2,227.10001
337,30264,30264,QUFA,6.4,1.8,96.6,,,,,,,,,,,,1.3,DS,26.4,261.79999
338,30279,30279,QUAL,3,1.5,17.4,,,,,,,,,,,,1.3,DS,23,271.5
338,30281,30281,FRAM2,8.8,7.3,28.5,Snag,A,,1,,3,,28.6,,,,1.3,DS,28.8,277.29999
338,30281,30281,FRAM2,8.8,7.3,28.5,Log,B,,1,,,21.7,25.6,8.2,,,,,,
343,30340,30340,ACRU,8.2,0.3,25.9,,,,,,,,,,,,1.3,DS,38.2,220.3
347,30914,30914,FRAM2,6.9,8.5,37.2,Snag,A,,1,,25,,37.3,,,,1.3,DS,36.9,268.5
351,30438,30438,LIST2,7,7,11.6,,,,,,,,,,,,1.3,DS;X,47,207
361,30624,30624,LIST2,3.9,2.2,29.7,,,,,,,,,,,,1.3,DS,53.9,202.2
366,30757,30757,QURU,7.8,8.2,31.7,Snag,,,3,,19.5,,31.5,,,,1.3,DS,57.8,258.20001
371,30528,30528,FAGR,2.7,4.4,37.9,,,,,,,,,,,,1.3,DS;X,62.7,204.39999
385,31265,31265,COFL2,7.5,5.6,11.2,Log,,,2,,,3.1,11.2,8.9,,,1.3,DS;L,77.5,245.60001
389,31340,31340,CATO6,2.3,9.4,15.3,,,,,,,,,,,,1.3,DC,72.3,289.39999
393,31065,31066,CAGL8,8.8,6.7,10.7,,,,,,,,,,,,1.3,DS,88.8,226.7
394,31089,31089,LIST2,0.7,9.2,16.2,,,,,,,,,,,,1.3,DS;Q,80.7,239.2
395,31504,31504,COFL2,5.6,6.4,10.1,,,,,,,,,,,,1.3,DC,85.6,246.39999
418,40539,40539,QUAL,2.7,6.8,10.6,,,,,,,,,,,,1.3,DS,2.7,376.79999
421,40109,40109,QUFA,5.7,4.8,49.4,Log,,,2,G,,4.2,42.1,25.6,,SE,1.3,DC,15.7,304.79999
425,40180,40180,QUFA,8.9,3.7,46.4,,,,,,,,,,,,1.3,DS,18.9,343.70001
426,40327,40327,UNKN,9.2,3.7,13.3,,,,,,,,,,,,1.3,DC,19.2,353.70001
428,40391,40391,ACRU,0.8,4.5,16.8,,,,,,,,,,,,1.3,DS;X,10.8,374.5
429,40617,40617,CACA18,2.1,6.7,10.2,Snag,A,F,4,,2,,9.8,,,,1.3,DS,12.1,386.70001
429,40617,40617,CACA18,,,,Log,B,F,4,G,,6,7.6,1.3,,N,,,,
429,40617,40617,CACA18,,,,Log,C,F,4,G,,6.6,6.7,1.6,,N,,,,
429,40626,40626,PIVI2,3.6,9,19,,,,,,,,,,,,1.3,DC,13.6,389
443,40772,40772,FAGR,6.8,9.8,66.3,,,,,,,,,,,,1.3,DS,36.8,329.79999
456,40970,40970,LITU,3.2,7.7,31.3,,,,,,,,,,,,1.3,DS;RS,43.2,357.70001
457,40983,40983,CATO6,3.6,4.2,23.9,Log,A,,2,,,4.9,22.5,2.4,,SW,1.3,DS;R,43.6,364.20001
458,41308,41308,ACRU,8.5,7.1,20.8,,,,,,,,,,,,1.3,DS;Q;IR,48.5,377.10001
459,41316,41316,COFL2,1.2,3.7,14.4,,,,,,,,,,,,1.3,DS;IR,41.2,383.70001
461,40857,40857,FAGR,1.9,9.9,16.3,,,,,,,,,,,,1.32,DS;Q,51.9,309.89999
462,40858,40858,CATO6,4.3,1.3,18.3,,,,,,,,,,,,1.32,DS;Q,54.3,311.29999
463,40866,40866,FAGR,5.4,5.1,49.8,,,,,,,,,,,,1.2,DS;Q;MT;IR,55.4,325.10001
465,41106,41106,UNKN,8,7.9,22.2,,,,,,,,,,,,1.3,DS;Q,58,347.89999
468,41133,41133,QUAL,6.4,2.4,69.4,,,,,,,,,,,,1.3,DS;Q;MT,56.4,372.39999
468,41135,41135,LITU,2.7,4,45,,,,,,,,,,,,1.3,DC;MT,52.7,374
482,41629,41629,CAGL8,1,3.7,21.8,,,,,,,,,,,,1.3,DS;MT,71,313.70001
485,41675,41675,FAGR,1.5,8.6,22.6,Snag,A,,2,,6.4,,22.5,,,,1.3,DS,71.5,348.60001
