QUADNAME,TAG,STEMTAG,SPCODE,QX,QY,DBH.2019,BDS.2021,PIECE.2021,INTEGRITY.2021,DECAYCLASS.2021,GC.2021,HEIGHT.2021,TOPDIAM.2021,DBH.2021,LENGTH,ANGLE,DIRECTION,HOM,CODES.2019,PX,PY,Notes2021
132,10205,10205,FRPE,3.5,0.3,32.5,,,,,,,,,,,,1.3,LI;M,23.5,10.3,
132,10207,10207,FRPE,5.5,2.9,15.5,,,,,,,,,,,,1.3,LI;M,25.5,12.9,
132,10210,10210,LIST2,7.3,8,52.9,,,,,,,,,,,,1.3,LI,27.3,18,
132,10211,10211,FRPE,5.5,8.7,12.1,,,,,,,,,,,,1.3,LI;L,25.5,18.7,
133,10212,10212,ACRU,7.9,3.9,48.6,,,,,,,,,,,,1.3,LI,27.9,23.9,
133,10214,10214,FRPE,4.5,6.9,25.9,,,,,,,,,,,,1.3,LI;L,24.5,26.9,
134,10217,10217,LIST2,9.5,8.9,26.5,,,,,,,,,,,,1.3,LI,29.5,38.9,
135,10221,10221,ACRU,9.1,3.7,26.4,,,,,,,,,,,,1.3,LI;IR,29.1,43.7,
135,10222,10222,ACRU,9.2,5.3,18.2,,,,,,,,,,,,1.3,LI;L;XY,29.2,45.3,
135,10223,11200,QUPA2,3.2,9.9,10,,,,,,,,,,,,1.3,LI;SEC;V50,23.2,49.9,
136,10224,10224,QUMI,8.8,7.3,13.4,,,,,,,,,,,,1.3,LI;M,28.8,57.3,
136,10225,10225,LIST2,5.8,5.3,19.3,,,,,,,,,,,,1.3,LI;L,25.8,55.3,
136,10226,10226,FRPE,2.9,4.9,22,,,,,,,,,,,,1.3,LI,22.9,54.9,
137,10243,10243,LIST2,8.1,3.8,13,,,,,,,,,,,,1.3,LI;V50,28.1,63.8,
137,10247,10247,LIST2,6.7,5.5,10.1,,,,,,,,,,,,1.3,LI,26.7,65.5,
137,10254,10254,FRPE,4.6,4.4,12.9,,,,,,,,,,,,1.3,LI;MT,24.6,64.4,
137,10259,10259,CACA18,1.5,7,13.3,,,,,,,,,,,,1.3,LI;L,21.5,67,
137,10260,10260,CACA18,3.1,7.7,10.6,,,,,,,,,,,,1.3,LI;V50,23.1,67.7,
138,10262,10262,FAGR,3.9,7.9,11.4,,,,,,,,,,,,1.3,LI;IR,23.9,77.9,
138,10263,10263,FAGR,5.6,9.2,21.3,,,,,,,,,,,,1.28,LI;A,25.6,79.2,
138,10265,10265,FAGR,0.6,0.9,34.9,,,,,,,,,,,,1.3,LI,20.6,70.9,
139,10267,10267,FAGR,1.2,2.1,32.2,,,,,,,,,,,,1.3,LI,21.2,82.1,
139,10268,10268,FAGR,1.7,3.2,10.2,,,,,,,,,,,,1.3,LI,21.7,83.2,
139,10270,10270,CATO6,7.4,5.9,24.5,,,,,,,,,,,,1.3,LI,27.4,85.9,
139,10271,10271,FAGR,8.9,9.4,12.6,,,,,,,,,,,,1.3,LI,28.9,89.4,
139,10276,10276,QUAL,3.6,9.4,102,,,,,,,,,,,,1.3,LI,23.6,89.4,
141,10307,10307,CACA18,1.7,9.4,11.7,,,,,,,,,,,,1.3,LI;M,31.7,9.4,
142,10309,10309,QUAL,5.8,0.5,30.4,,,,,,,,,,,,1.32,LI;A,35.8,10.5,
142,10310,10310,LIST2,2.7,1.2,55.6,,,,,,,,,,,,1.3,LI,32.7,11.2,
142,10311,10311,FAGR,4.6,1.7,16.8,,,,,,,,,,,,1.3,LI;M;IR,34.6,11.7,
142,10313,10313,CACA18,9.7,8.4,13.1,,,,,,,,,,,,1.3,LI;L,39.7,18.4,
143,10318,10318,ACRU,5.7,5,38.9,,,,,,,,,,,,1.3,LI,35.7,25,
143,10319,10319,LIST2,5.6,7.8,34.7,,,,,,,,,,,,1.3,LI,35.6,27.8,
