TAG,QUADNAME,STEMTAG,SPCODE,QX,QY,BREAKDOWNSTATUS.2014,BDS.2021,PIECE.2014,PIECE.2021,INTEG.2021,DECAYCLASSORIG,DECAYCLASS.2021,GC.2021,HEIGHT.2014,HEIGHT.2021,TOPDIAM.2014,TOPDIAM.2021,DBH,DBH.2021,LENGTH.2014,LENGTH.2021,ANGLE,DIRECTION,NOTES.2014
101911,101010,NA,LIBE3,NA,NA,lying whole,,A,,,3,NA,,NA,NA,NA,NA,52.2,NA,12.1,NA,NA,,
10199,119,NA,NYSY,NA,NA,lying broken,,A,,,2,NA,,NA,NA,NA,NA,16.2,NA,8.4,NA,NA,,
10199,129,NA,NYSY,NA,NA,lying broken,,C,,,2,NA,,NA,NA,NA,NA,11.7,NA,2,NA,NA,,
10199,129,NA,NYSY,NA,NA,lying broken,,B,,,2,NA,,NA,NA,NA,NA,12.2,NA,1.4,NA,NA,,
102026,10910,NA,PLOC,NA,NA,lying broken,,A,,,1,NA,,NA,NA,NA,NA,74.4,NA,18.9,NA,NA,,
102026,11102,NA,PLOC,NA,NA,lying broken,,B,,,1,NA,,NA,NA,NA,NA,36.1,NA,7.2,NA,NA,,
102128,10106,NA,TORA2,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,44.7,NA,15.3,NA,NA,,
102129,10106,NA,LIBE3,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,5.5,NA,3.2,NA,NA,,broken
10213,133,NA,ACRU,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,30.9,NA,,NA,NA,,
10216,134,NA,FRPE,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,15.7,NA,,NA,NA,,
10220,135,NA,UNKN,NA,NA,standing broken,,A,,,3,NA,,2.5,NA,16.3,NA,20.7,NA,,NA,NA,,
10220,135,NA,UNKN,NA,NA,standing broken,,B,,,3,NA,,NA,NA,NA,NA,16.3,NA,5.4,NA,NA,,
