QUADNAME,TAG,STEMTAG,SPCODE,QX,QY,BREAKDOWNSTATUS.2017,BDS.2021,PIECE.2017,PIECE.2021,INTEG.2017,INTEG.2021,DECAYCLASS.2017,DECAYCLASSORIG,DECAYCLASS.2021,GC.2017,GC.2021,HEIGHT.2017,HEIGHT.2021,TOPDIAM.2017,TOPDIAM.2021,DBH,DBH.2017,DBH.2021,LENGTH.2017,LENGTH.2021,ANGLE,DIRECTION,NOTES.2017,NOTES.2021,,,,,LG.END.DIAM,SM.END.DIAM,LG.PX,LG.PY,SM.PX,SM.PY,CORRXTREE,CORRYTREE,UTMX_TREES,UTMY_TREES
146,10347,10348,FRPE,6,9.9,Consumed,,NA,,NA,,5,3,,NA,,NA,,NA,,11.6,NA,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,36,59.9,438057.193,135654.397
146,10349,10349,FRPE,3.7,7.9,Snag,,A,,NA,,NA,NA,,NA,,NA,,NA,,12.4,14.7,,NA,,,,NA,Not dead,,,,,NA,NA,NA,NA,NA,NA,33.7,57.9,438054.893,135652.397
147,10350,10350,LIST2,9.1,7.5,Snag,Log,A,A,F,,2,1,4,NA,,10.2,,NA,24.9,32.2,31.3,33,NA,10,,,NA,,,,,,NA,NA,NA,NA,NA,NA,39.1,67.5,438060.293,135661.997
151,10408,10408,UNKN,5.6,1.7,Snag,Snag,A,A,F,,4,2,3,NA,,3,,NA,,29.9,28.9,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,45.6,1.7,438066.793,135596.197
154,10439,10439,FRPE,1.3,5.5,Snag,Snag,A,A,C,,1,1,2,NA,,20.6,3,NA,,38.6,39.3,36.6,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,41.3,35.5,438062.493,135629.997
154,10439,10439,FRPE,1.3,5.5,,Log,,B,,,,,2,,,,,,25.3,,,30.3,,15,,,,,,,,,,,,,,,,,,
155,10453,10453,UNKN,8.1,8,Snag,,A,,F,,3,2,,NA,,2,,NA,,29.5,NA,,NA,,,,NA,Not found ,,,,,NA,NA,NA,NA,NA,NA,48.1,48,438069.293,135642.497
156,10455,10455,UNKN,6.8,3.8,Stump,,NA,,NA,,NA,NA,,NA,,NA,,NA,,11.5,NA,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,46.8,53.8,438067.993,135648.297
159,10470,10470,LIST2,6,3.8,Log,Log,A,A,C,,2,1,3,G;A,,NA,,NA,,33.5,NA,,14,,,,NA,,,,,,34,17.5,NA,NA,NA,NA,46,83.8,438067.193,135678.297
1110,10509,10509,COFL2,9.8,5.8,Consumed,,NA,,NA,,5,3,,NA,,NA,,NA,,14.2,NA,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,9.8,95.8,438030.993,135690.297
173,10555,10555,QUFA,6.2,2,Log,Log,B,B,F,,3,2,3,G,,NA,,NA,,56.6,NA,,9,,,,NA,,,,,,35.5,16,NA,NA,NA,NA,66.2,22,438087.393,135616.497
173,10555,10555,QUFA,6.2,2,Snag,Snag,A,A,F,,2,1,3,NA,,8,,35.5,,56.6,54.7,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,66.2,22,438087.393,135616.497
174,10567,10567,FRPE,3,9.8,Snag,Snag,A,A,C,,1,1,2,NA,,12.6,,NA,,41.6,39.5,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,63,39.8,438084.193,135634.297
175,10569,10569,FRPE,8,1.7,Snag,Snag,A,A,C,,1,1,2,NA,,11,,NA,,21.4,22.3,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,68,41.7,438089.193,135636.197
175,10570,10570,ULAM,7.9,6.3,Log,,A,,F,,4,2,,G,,NA,,NA,,14.7,NA,,4.5,,,,NA,Not found,,,,,13,8.9,NA,NA,NA,NA,67.9,46.3,438089.093,135640.797
175,10572,10572,UNKN,1.9,7.6,Snag,Snag,A,A,F,,4,2,4,NA,,6.5,,NA,,38.9,35.6,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,61.9,47.6,438083.093,135642.097
179,10585,10585,UNKN,3.4,3.7,Snag,Log,A,A,F,,4,2,4,NA,,6,,NA,15.3,43.2,35.7,29.2,NA,6,,,NA,,,,,,NA,NA,NA,NA,NA,NA,63.4,83.7,438084.593,135678.197
162,10610,10610,QUERC,8.6,4.4,Log,Log,A,A,F,,4,2,5,G,,NA,,NA,,70.7,NA,,7,,,,NA,,,,,,57,67.2,NA,NA,NA,NA,58.6,14.4,438079.793,135608.897
164,10622,10622,FRPE,9.8,6.1,Snag,Snag,A,A,C,,1,1,1,NA,,11.2,,NA,,22.1,22.7,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,59.8,36.1,438080.993,135630.597
164,10623,10623,FRPE,8.2,7.9,Log,"Log
Snag",B,B,F,,2,1,2,G,,NA,,NA,,36.4,NA,,7,,,,NA,,,,,,29.8,23.3,NA,NA,NA,NA,58.2,37.9,438079.393,135632.397
164,10623,10623,FRPE,8.2,7.9,Snag,Snag,A,A,F,,2,1,2,NA,,5.6,,29.8,,36.4,35.5,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,58.2,37.9,438079.393,135632.397
164,10628,10628,ULAM,5,8,Stump,,NA,,NA,,NA,NA,,NA,,NA,,NA,,24,NA,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,55,38,438076.193,135632.497
167,10642,10642,LITU,4.7,1,Snag,Snag,A,A,F,,4,2,4,NA,,3,,NA,,29.4,24.7,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,54.7,61,438075.893,135655.497
1610,10665,10665,QUAL,7.6,8.9,Log,Log,A,A,C,,1,1,2,A;G,,NA,,NA,,NA,NA,52,17,,,,NA,,,,,,54.7,40.2,NA,NA,NA,NA,57.6,98.9,438078.793,135693.397
191,10805,10805,QURU,1.1,0.9,Log,Log,A,A,F,,4,2,5,G,,NA,,NA,,36.3,NA,,12,,,,NA,,,,,,19.7,34.1,NA,NA,NA,NA,81.1,0.9,438102.293,135595.397
1105,10952,10952,FRPE,8.8,4.8,Snag,Snag,A,A,C,,1,1,2,NA,,10.2,,NA,,32.2,32.3,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,98.8,44.8,438119.993,135639.297
1105,10965,10965,FRPE,4.8,8,Snag,Snag,A,A,C,,1,1,2,NA,,16.2,,NA,,33.6,32.8,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,94.8,48,438115.993,135642.497
1106,10971,10971,FRPE,6,3.6,Snag,Snag,A,A,C,,1,1,2,NA,,11.8,,NA,,29.9,30.5,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,96,53.6,438117.193,135648.097
1106,10973,10973,LIST2,2.5,6,Snag,Snag,A,A,F,,2,1,2,NA,,8.6,,NA,,26.9,26.9,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,92.5,56,438113.693,135650.497
1106,10978,10978,FRPE,0.3,7.8,Snag,Snag,A,A,C,,1,1,2,NA,,13.8,,NA,,39.3,39.8,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,90.3,57.8,438111.493,135652.297
184,11014,11014,UNKN,6.4,2.4,Snag,Snag,A,A,F,,4,2,4,NA,,5,,NA,,31.6,30.8,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,76.4,32.4,438097.593,135626.897
184,11015,11015,NYSY,1.2,2.3,Snag,Log,A,A,F,,4,2,4,NA,,3,,NA,8,17,16,13.5,NA,2,,,NA,,,,,,NA,NA,NA,NA,NA,NA,71.2,32.3,438092.393,135626.797
185,11034,11034,FRPE,4.9,6.7,Snag,Snag,A,A,C,,1,1,2,NA,,17,,NA,,36,35.7,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,74.9,46.7,438096.093,135641.197
188,11064,11064,QUERC,0.9,1.6,Stump,,NA,,NA,,NA,NA,,NA,,NA,,NA,,32,NA,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,70.9,71.6,438092.093,135666.097
133,11181,11181,FRPE,3.9,3.2,Snag,Log,A,A,C,,1,1,2,NA,,16,,NA,14.9,24.8,23.4,25,NA,15,,,NA,,,,,,NA,NA,NA,NA,NA,NA,23.9,23.2,438045.093,135617.697
197,11212,11212,FRPE,5.4,2.4,Snag,Snag,A,A,C,,1,1,2,NA,,13.4,,NA,,45.7,45.1,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,85.4,62.4,438106.593,135656.897
226,20145,20145,LIST2,8.8,4.1,Log,,A,,F,,4,2,5,G,,NA,,NA,,49,NA,,9,,,,NA,,,,,,36.8,30.9,8.8,4.1,8.5,6,18.8,154.1,438039.993,135748.597
226,20151,20151,CATO6,3,9.2,Snag,Log,A,A,C,,1,1,3,NA,,7,,NA,8.3,11.9,11.5,10.1,NA,7.7,,,NA,,,,,,NA,NA,NA,NA,NA,NA,13,159.2,438034.193,135753.697
229,20175,20175,LITU,2.1,1.9,Snag,Snag,A,A,C,,1,1,1,NA,,37.6,,NA,,41.2,40.9,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,12.1,181.9,438033.293,135776.397
242,20239,20239,QURU,3.1,0.6,Log,Log,A,A,C,,4,2,4,G,,NA,,NA,,70.9,NA,,20,,,,NA,,,,,,66.6,32.7,3.1,0.6,5,7,33.1,110.6,438054.293,135705.097
244,20260,20260,COFL2,4.9,1.1,Log,Log,A,A,F,,3,2,3,G,,NA,,NA,,16.6,NA,,11,,,,NA,,,,,,18.4,12.6,4.9,1.1,4,5,34.9,131.1,438056.093,135725.597
245,20277,20277,CAGL8,4.6,8.2,Snag,Log,A,A,C,,1,1,2,NA,,13,,NA,,11,10.7,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,34.6,148.2,438055.793,135742.697
231,20313,20313,COFL2,9.8,5.8,Snag,Log,A,A,C,,2,1,2,NA,A,8,,NA,,10.7,10.5,,NA,,,,switch channels,,,,,,NA,NA,NA,NA,NA,NA,29.8,105.8,438050.993,135700.297
227,20354,20354,QUAL,1.4,3.2,Log,Log,B,B,F,,4,2,4,G,,NA,,NA,,NA,NA,,10,,,,NA,,,,,,76.7,41.4,10,3,0,4,21.4,163.2,438042.593,135757.697
237,20354,20354,QUAL,1.4,3.2,Snag,Snag,A,A,F,,3,2,3,NA,,3.5,,NA,,60.3,61,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,21.4,163.2,438042.593,135757.697
258,20488,20488,COFL2,0.2,8.6,Log,Log,A,A,C,,4,2,2,A,,NA,,NA,,12.8,NA,,5,,,,NA,,,,,,15.9,11.6,0.2,8.6,9,4,40.2,178.6,438061.393,135773.097
2510,20587,20587,LIST2,9.2,7.8,Log,Log,A,A,F,,4,2,3,G,,NA,,NA,,10.4,NA,,4.5,,,,NA,,,,,,9.6,6.3,9.8,7.8,6,4.8,49.2,197.8,438070.393,135792.297
262,20708,20708,CARYA,3.9,1.8,Snag,Log,A,A,C,,3,2,3,NA,,10,,NA,,33.4,32.4,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,53.9,111.8,438075.093,135706.297
283,20718,20718,FAGR,1,1.1,Log,,A,,F,,3,2,,G,,NA,,NA,,12.5,NA,,3,,,,NA,Not found,,,,,15.7,11.2,1,1.1,3,9,51,121.1,438072.193,135715.597
281,20811,20811,LIST2,7.3,7.1,Log,Log,A,,C,,3,2,3,G,,NA,,NA,,12.4,NA,,10,,,,NA,,,,,,15.4,6.4,7.5,7.1,3.5,4,77.3,107.1,438098.493,135701.597
282,20820,20820,LIST2,6.8,4,Log,Log,B,B,F,,3,2,3,G,,NA,,NA,,NA,NA,,10,,,,NA,,,,,,16.4,9.7,7,3,4,6,76.8,114,438097.993,135708.497
282,20820,20820,LIST2,6.8,4,Snag,Log,A,A,F,,3,2,3,NA,A,4,,16.4,,21.6,21.5,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,76.8,114,438097.993,135708.497
288,20887,20887,CATO6,2.2,5.6,Log,Log,A,A,F,,4,2,5,G,,NA,,NA,,42,NA,,12,,,,NA,,,,,,36.2,27.6,2.2,5.6,6,8,72.2,175.6,438093.393,135770.097
291,20927,20927,FAGR,9.8,3.1,Log,,A,,F,,4,2,,G,,NA,,NA,,20.1,NA,,4,,,,NA,,,,,,20.3,11.1,9.8,3.1,5.8,4.1,89.8,103.1,438110.993,135697.597
295,20980,20980,LIST2,8.2,9.4,Snag,,A,,F,,4,2,,NA,,4,,NA,,25.2,24.1,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,88.2,149.4,438109.393,135743.897
2107,21231,21231,CACA18,8.1,9.6,Log,,A,,NA,,5,3,,G;A,,NA,,NA,,NA,NA,,7,,,,NA,Not found,,,,,NA,9.7,7,9.8,2,2,NA,NA,NA,NA
2108,21253,21253,CATO6,1.1,1.1,Log,Log,A,A,F,,3,2,5,G,,NA,,NA,,19.6,NA,,6,,,,NA,Quad name should be 2109,,,,,24.5,11.2,1.1,0.8,0,5,91.1,181.1,438112.293,135775.597
241,21527,21527,FAGR,8.2,5.7,Snag,Snag,A,A,F,,1,1,2,NA,,5,,NA,,12.1,12.1,,NA,,,,X,,,,,,NA,NA,NA,NA,NA,NA,38.2,105.7,438059.393,135700.197
243,21541,21541,QURU,0.4,4.7,Log,Log,B,B,F,,4,2,3,G;A,,NA,,NA,,NA,NA,,7,,,,NA,,,,,,22.5,22.5,2,0.5,1,5,30.4,134.7,438051.593,135729.197
244,21541,21541,QURU,0.4,4.7,Snag,Log,A,A,F,,3,2,4,NA,,6,,22.5,,40,38,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,30.4,134.7,438051.593,135729.197
315,30050,30050,LITU,1.4,0.5,Log,Log,A,A,NA,,4,2,5,G,,NA,,NA,,NA,NA,,10,,,,NA,,,,,,24.7,NA,1.4,240.5,9.2,248.2,NA,NA,NA,NA
316,30066,30066,FRPE,0.4,4.8,Log,,A,,NA,,1,1,,G,,NA,,NA,,NA,NA,,4.2,,,,NA,"Coordinates backwards, length corrected to be 22.2",,,,,35.7,24.2,0.4,254.6,NA,NA,NA,NA,NA,NA
316,30073,30073,CATO6,8.4,7,Log,Log,A,A,NA,,2,1,3,G,,NA,,NA,,NA,NA,,9.24,,,,NA,,,,,,42.1,35.2,8.5,256.8,NA,NA,NA,NA,NA,NA
325,30145,30145,UNKN,1.5,4.6,Snag,Snag,A,A,NA,,3,2,3,NA,,7,,NA,,26.2,27.2,,NA,,,,leaning on 30142,,,,,,NA,NA,NA,NA,NA,NA,11.5,244.6,438032.693,135839.097
325,30145,30154,LITU,9,8.5,Log,Log,B,B,F,,4,2,4,G,,NA,,NA,,NA,NA,,NA,,,,NA,,,,,,20.4,18.4,NA,NA,NA,NA,19,248.5,438040.193,135842.997
325,30145,30154,LITU,9,8.5,Log,Log,C,C,F,,4,2,4,G,,NA,,NA,,NA,NA,,NA,,,,NA,,,,,,20.1,18.2,NA,NA,NA,NA,19,248.5,438040.193,135842.997
325,30145,30154,LITU,9,8.5,Log,,D,,F,,4,2,,G,,NA,,NA,,NA,NA,,NA,,,,NA,Not found,,,,,17.7,15.3,NA,NA,NA,NA,19,248.5,438040.193,135842.997
325,30154,30154,LITU,9,8.5,Snag,Snag,A,A,F,,3,2,4,NA,,1.8,,NA,,20.9,20.5,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,19,248.5,438040.193,135842.997
329,30198,30198,CACA18,3.9,8,Log,,A,,NA,,3,2,,NA,,NA,,NA,,NA,NA,,8.8,,,,not found,not found,,,,,21.2,8.3,13.8,287.8,22.1,285.4,NA,NA,NA,NA
331,30202,30202,FRPE,2.2,1.4,Snag,Log,A,A,C,,1,1,2,NA,,15.2,,NA,,33.9,34,,NA,,,,SP=FRAM2,,,,,,NA,NA,NA,NA,NA,NA,22.2,201.4,438043.393,135795.897
333,30225,30225,FRPE,6.1,9.1,Snag,Log,A,A,C,,1,1,1,NA,,25,,NA,,30.3,30.2,,NA,,,,switch xy,,,,,,NA,NA,NA,NA,NA,NA,26.1,229.1,438047.293,135823.597
335,30242,30242,LIST2,2.6,3.8,Log,Log,A,A,C,,2,1,3,G,,NA,,NA,,60.2,NA,,18,,,,NA,,,,,,57.9,40.1,NA,NA,NA,NA,22.6,243.8,438043.793,135838.297
336,30259,30259,CACA18,7.9,9.4,Log,,A,,NA,,1,1,,NA,,NA,,NA,,NA,NA,,NA,,,,NA,Not found,,,,,NA,NA,27.9,259.4,NA,NA,NA,NA,NA,NA
337,30264,30264,QUFA,6.4,1.8,Snag,Log,A,A,F,,2,1,4,NA,,15,,47.9,,99.3,NA,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,26.4,261.8,438047.593,135856.297
346,30264,30264,QUFA,6.4,1.8,Log,Log,B,B,C,,2,1,3,G,,NA,,NA,,99.3,NA,,7,,,,NA,"Coordinates incorrect, should be .6, 9.6",,,,,47.9,40.6,NA,NA,NA,NA,26.4,261.8,438047.593,135856.297
337,30272,30272,ACRU,1.5,8.4,Log,Log,A,A,C,,2,1,4,G,,NA,,NA,,12.5,NA,,14,,,,NA,,,,,,13.4,4.1,NA,NA,NA,NA,21.5,268.4,438042.693,135862.897
338,30274,30274,CACA18,1,0.8,Log,,B,,F,,3,2,,G,,NA,,NA,,12.8,NA,,6,,,,NA,Not found,,,,,10.8,6.5,10,0.8,6,3,21,270.8,438042.193,135865.297
338,30274,30274,CACA18,1,0.8,Snag,,A,,F,,3,2,,NA,,2.6,,10.8,,12.8,13.3,,NA,,,,NA,Not found,,,,,NA,NA,NA,NA,NA,NA,21,270.8,438042.193,135865.297
338,30279,30279,QUAL,3,1.5,Snag,Snag,A,A,C,,1,1,2,NA,,11,,NA,,17.2,16.5,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,23,271.5,438044.193,135865.997
339,30300,30300,CACA18,7.4,3.1,Log,,B,,F,,4,2,,G,,NA,,NA,,11.7,NA,,2,,,,NA,Not found,,,,,11.2,8.9,8,3.1,1.5,3.1,27.4,283.1,438048.593,135877.597
339,30300,30300,CACA18,7.4,3.1,Snag,,A,,F,,4,2,,NA,,0.7,,NA,,11.7,NA,,NA,,,,NA,Not found,,,,,NA,NA,NA,NA,NA,NA,27.4,283.1,438048.593,135877.597
343,30340,30340,ACRU,8.2,0.3,Log,Log,B,B,F,,3,2,4,G,,NA,,NA,,27.3,NA,,11,,,,NA,,,,,,25.2,16.8,NA,NA,NA,NA,38.2,220.3,438059.393,135814.797
343,30340,30340,ACRU,8.2,0.3,Snag,Log,A,A,F,,3,2,4,NA,,1.7,,25.2,,27.3,26.9,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,38.2,220.3,438059.393,135814.797
344,30359,30359,FRPE,8,3.5,Snag,Snag,A,A,C,,1,1,2,NA,,28,,NA,,52.8,52.8,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,38,233.5,438059.193,135827.997
345,30383,30383,FRPE,0.6,6.6,Snag,Snag,A,A,C,,1,1,1,NA,,30,,NA,,56.9,57.3,,NA,,,,SP=FRAM2,,,,,,NA,NA,NA,NA,NA,NA,30.6,246.6,438051.793,135841.097
346,30394,30394,FAGR,1.8,3.5,Log,Log,A,A,C,,2,1,4,NA,,NA,,NA,,12.8,NA,,13,,,,NA,,,,,,13.8,6.4,NA,NA,NA,NA,31.8,253.5,438052.993,135847.997
351,30424,30424,QUAL,3.3,0.8,Log,Log,A,A,NA,,1,1,3,NA,,NA,,NA,,NA,NA,,6.4,17,,,NA,"Past lengths are wrong, use 2021",,,,,93.4,14.6,43.4,200.8,74,206.7,NA,NA,NA,NA
351,30438,30438,LIST2,7,7,Snag,Log,A,A,F,,1,1,3,NA,,6.5,,NA,10.3,11.8,11.6,12.7,NA,3,,,NA,,,,,,NA,NA,NA,NA,NA,NA,47,207,438068.193,135801.497
371,30528,30528,FAGR,2.7,4.4,Snag,Snag,A,A,F,,2,1,2,NA,,4,4,NA,,37.9,37.8,37.5,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,62.7,204.4,438083.893,135798.897
3210,30606,30606,LITU,8.3,0.4,Log,Log,A,A,F,,4,2,4,G,,NA,,NA,,NA,NA,,2,,,,NA,,,,,,13,8.6,18.3,290.5,20.4,293.8,NA,NA,NA,NA
3210,30606,30606,LITU,8.3,0.4,Log,,B,,F,,NA,NA,,NA,,NA,,NA,,NA,NA,,NA,,,,not found,not found,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3210,30606,30606,LITU,8.3,0.4,Log,,C,,F,,4,2,,G,,NA,,NA,,NA,NA,,2,,,,NA,not found,,,,,11.1,9.5,22.7,297.7,24.5,299.8,NA,NA,NA,NA
3210,30610,30610,CACA18,4.7,6,Log,,A,,NA,,3,2,,NA,,NA,,NA,,NA,NA,,2.6,,,,not found,not found,,,,,12.8,10.2,14.7,295.8,12,295.8,NA,NA,NA,NA
361,30622,30622,FAGR,8.8,2.3,Snag,Log,A,A,NA,,NA,NA,4,NA,,NA,,NA,,32.1,NA,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,58.8,202.3,438079.993,135796.797
361,30624,30624,LIST2,3.9,2.2,Log,Log,B,B,NA,,2,1,4,G,,NA,,21.3,,NA,NA,,14,,,,NA,,,,,,21.3,15.1,NA,NA,NA,NA,53.9,202.2,438075.093,135796.697
361,30624,30624,LIST2,3.9,2.2,Snag,Log,A,A,F,,2,1,3,NA,,6,,21.3,,32.3,30.9,,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,53.9,202.2,438075.093,135796.697
348,30944,30944,FAGR,7.9,8.1,Snag,Log,A,A,F,,3,2,3,NA,,8,,NA,,13.3,11.9,,NA,,,,SP=LITU,,,,,,NA,NA,NA,NA,NA,NA,37.9,278.1,438059.093,135872.597
393,31065,31066,CAGL8,8.8,6.7,Snag,Snag,A,,C,,1,1,2,NA,,8,4,NA,,10.5,11.3,9.5,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,88.8,226.7,438109.993,135821.197
394,31089,31089,LIST2,0.7,9.2,Log,Log,B,B,F,,1,1,4,G,,NA,,NA,,16.7,NA,,12.5,,,,NA,,,,,,15.9,7,NA,NA,NA,NA,80.7,239.2,438101.893,135833.697
394,31089,31089,LIST2,0.7,9.2,Snag,Snag,A,A,F,,1,1,3,NA,,3,1.9,15.9,,16.7,16.5,15.3,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,80.7,239.2,438101.893,135833.697
377,31122,31122,CATO6,0,1.5,Log,Log,A,A,NA,,NA,NA,1,NA,,NA,,NA,,46.6,NA,46,NA,0.88,,,"cut down, hazard tree",,,,,,NA,NA,NA,NA,NA,NA,60,261.5,438081.193,135855.997
