QUADNAME,TAG,STEMTAG,SPCODE,PX,PY,PIECE,BREAKDOWNSTATUS,INTEG,DECAYCLASS,DECAYCLASSORIG,GC,HEIGHT,TOPDIAM,DBH,DBH.2017,NOTES.2017,LG.PX,LG.PY,SM.PX,SM.PY,LENGTH,LG.END.DIAM,SM.END.DIAM,CON.2014,CODES.2014,NOTES.2014,CORRXTREE,CORRYTREE,UTMX_TREES,UTMY_TREES
156,10455,10455,UNKN,6.8,3.8,NA,Stump,NA,NA,NA,NA,NA,NA,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,I; X,NA,46.8,53.8,438067.993,135648.297
159,10470,10470,LIST2,6,3.8,A,Log,C,2,1,G;A,NA,NA,33.5,NA,NA,NA,NA,NA,NA,14,34,17.5,LI,M; P,NA,46,83.8,438067.193,135678.297
1110,10509,10509,COFL2,9.8,5.8,NA,Consumed,NA,5,3,NA,NA,NA,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,NA,NA,9.8,95.8,438030.993,135690.297
173,10555,10555,QUFA,6.2,2,B,Log,F,3,2,G,NA,NA,56.6,NA,NA,NA,NA,NA,NA,9,35.5,16,DS,MT; X,NA,66.2,22,438087.393,135616.497
173,10555,10555,QUFA,6.2,2,A,Snag,F,2,1,NA,8,35.5,56.6,54.7,NA,NA,NA,NA,NA,NA,NA,NA,DS,MT; X,NA,66.2,22,438087.393,135616.497
174,10567,10567,FRPE,3,9.8,A,Snag,C,1,1,NA,12.6,NA,41.6,39.5,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,63,39.8,438084.193,135634.297
175,10569,10569,FRPE,8,1.7,A,Snag,C,1,1,NA,11,NA,21.4,22.3,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,68,41.7,438089.193,135636.197
175,10570,10570,ULAM,7.9,6.3,A,Log,F,4,2,G,NA,NA,14.7,NA,NA,NA,NA,NA,NA,4.5,13,8.9,DS,NA,PAQU2 on it,67.9,46.3,438089.093,135640.797
175,10572,10572,UNKN,1.9,7.6,A,Snag,F,4,2,NA,6.5,NA,38.9,35.6,NA,NA,NA,NA,NA,NA,NA,NA,DS,X,NA,61.9,47.6,438083.093,135642.097
179,10585,10585,UNKN,3.4,3.7,A,Snag,F,4,2,NA,6,NA,43.2,35.7,NA,NA,NA,NA,NA,NA,NA,NA,DS,X,NA,63.4,83.7,438084.593,135678.197
162,10610,10610,QUERC,8.6,4.4,A,Log,F,4,2,G,NA,NA,70.7,NA,NA,NA,NA,NA,NA,7,57,67.2,DS,X,NA,58.6,14.4,438079.793,135608.897
164,10622,10622,FRPE,9.8,6.1,A,Snag,C,1,1,NA,11.2,NA,22.1,22.7,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,59.8,36.1,438080.993,135630.597
164,10623,10623,FRPE,8.2,7.9,B,Log,F,2,1,G,NA,NA,36.4,NA,NA,NA,NA,NA,NA,7,29.8,23.3,LI,NA,NA,58.2,37.9,438079.393,135632.397
164,10623,10623,FRPE,8.2,7.9,A,Snag,F,2,1,NA,5.6,29.8,36.4,35.5,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,58.2,37.9,438079.393,135632.397
164,10628,10628,ULAM,5,8,NA,Stump,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,MT; X,NA,55,38,438076.193,135632.497
167,10642,10642,LITU,4.7,1,A,Snag,F,4,2,NA,3,NA,29.4,24.7,NA,NA,NA,NA,NA,NA,NA,NA,DS,X,NA,54.7,61,438075.893,135655.497
1610,10665,10665,QUAL,7.6,8.9,A,Log,C,1,1,A;G,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,54.7,40.2,LI,NA,NA,57.6,98.9,438078.793,135693.397
191,10805,10805,QURU,1.1,0.9,A,Log,F,4,2,G,NA,NA,36.3,NA,NA,NA,NA,NA,NA,12,19.7,34.1,DS,X,NA,81.1,0.9,438102.293,135595.397
