QUADNAME,TAG,STEMTAG,SPCODE,PX,PY,PIECE,BREAKDOWNSTATUS,INTEG,DECAYCLASS,DECAYCLASSORIG,GC,HEIGHT,TOPDIAM,DBH,DBH.2017,NOTES.2017,LG.PX,LG.PY,SM.PX,SM.PY,LENGTH,LG.END.DIAM,SM.END.DIAM,CON.2014,CODES.2014,NOTES.2014,CORRXTREE,CORRYTREE,UTMX_TREES,UTMY_TREES
413,40044,40044,FAGR,9.5,4.5,D,Log,F,2,1,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.9,51.1,NA,NA,NA,9.5,324.5,438030.693,135918.997
413,40044,40044,FAGR,9.5,4.5,A,Snag,F,2,1,NA,NA,54.4,60.2,57.2,cut,NA,NA,NA,NA,NA,NA,NA,LI,X,NA,9.5,324.5,438030.693,135918.997
422,40044,40044,FAGR,9.5,4.5,E,Log,F,2,1,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.9,42.3,NA,NA,NA,9.5,324.5,438030.693,135918.997
422,40044,40044,FAGR,9.5,4.5,F,Log,F,2,1,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.5,36.9,NA,NA,NA,9.5,324.5,438030.693,135918.997
422,40044,40044,FAGR,9.5,4.5,G,Log,F,2,1,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.8,40.5,NA,NA,NA,9.5,324.5,438030.693,135918.997
422,40044,40044,FAGR,9.5,4.5,H,Log,F,2,1,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5,39.5,NA,NA,NA,9.5,324.5,438030.693,135918.997
422,40044,40044,FAGR,9.5,4.5,I,Log,F,2,1,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.1,35.4,NA,NA,NA,9.5,324.5,438030.693,135918.997
422,40044,40044,FAGR,9.5,4.5,J,Log,F,2,1,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,30,NA,NA,NA,9.5,324.5,438030.693,135918.997
422,40044,40044,FAGR,9.5,4.5,K,Log,F,2,1,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.2,26.2,NA,NA,NA,9.5,324.5,438030.693,135918.997
422,40044,40044,FAGR,9.5,4.5,L,Log,F,2,1,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.1,23.7,NA,NA,NA,9.5,324.5,438030.693,135918.997
416,40093,40093,FAGR,8.5,6.5,A,Snag,F,3,2,NA,9.4,28.7,44.2,43.6,NA,NA,NA,NA,NA,NA,NA,NA,DS,X,NA,8.5,356.5,438029.693,135950.997
426,40093,40093,FAGR,8.5,6.5,B,Log,F,3,2,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.7,27.2,NA,NA,NA,8.5,356.5,438029.693,135950.997
425,40180,40180,QUFA,8.9,3.7,A,Snag,C,2,1,NA,18.4,NA,47.4,46.3,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,18.9,343.7,438040.093,135938.197
421,40203,40203,CATO6,0,3.1,C,Log,F,2,1,G,NA,NA,NA,NA,NA,19.2,306.3,21,307.9,2.5,42.5,40.5,NA,NA,NA,NA,NA,NA,NA
431,40203,40203,CATO6,0,3.1,A,Log,F,2,1,A,NA,NA,NA,NA,NA,19.9,303,NA,NA,1.3,46.7,49.8,NA,NA,NA,NA,NA,NA,NA
431,40203,40203,CATO6,0,3.1,B,Log,F,2,1,G,NA,NA,NA,NA,NA,20.5,304.9,22.8,304.9,2.3,49.8,40.7,NA,NA,NA,NA,NA,NA,NA
431,40203,40203,CATO6,0,3.1,D,Log,F,2,1,G,NA,NA,NA,NA,NA,23.4,298.6,22.8,300.7,2,40.2,38.8,NA,NA,NA,NA,NA,NA,NA
431,40203,40203,CATO6,0,3.1,E,Log,F,2,1,G,NA,NA,NA,NA,NA,26.5,301.3,27.8,299.7,2,39,38.5,NA,NA,NA,NA,NA,NA,NA
431,40203,40203,CATO6,0,3.1,F,Log,F,2,1,G,NA,NA,NA,NA,NA,26.3,302.3,27.4,300.7,2,38.5,38.3,NA,NA,NA,NA,NA,NA,NA
431,40203,40203,CATO6,0,3.1,G,Log,F,2,1,G,NA,NA,NA,NA,NA,29.8,304.8,30,306,1.5,38.4,37,NA,NA,NA,NA,NA,NA,NA
431,40203,40203,CATO6,0,3.1,H,Log,F,2,1,G,NA,NA,NA,NA,NA,28.9,301.5,34.7,311.1,10.4,38.6,32.2,NA,NA,NA,NA,NA,NA,NA
428,40391,40391,ACRU,0.8,4.5,A,Snag,C,1,1,NA,10.6,NA,16.8,17.1,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,10.8,374.5,438031.993,135968.997
416,40501,40501,LITU,1.3,1.7,D,Log,NA,5,3,NA,NA,NA,NA,NA,"not found, 5",1.9,357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
416,40501,40501,LITU,1.3,1.7,E,Log,NA,5,3,NA,NA,NA,NA,NA,"not found, 5",1.5,359.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
417,40501,40511,LITU,4.6,4.4,A,Log,F,4,2,G,NA,NA,NA,NA,NA,4.6,364.4,15.4,352.7,15.2,34.1,23,NA,NA,NA,NA,NA,NA,NA
426,40511,40511,LITU,4.6,4.4,B,Log,F,4,2,G,NA,NA,NA,NA,NA,NA,NA,19.3,349.9,1.8,23.5,23.7,NA,NA,NA,NA,NA,NA,NA
426,40511,40511,LITU,4.6,4.4,C,Log,F,4,2,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7,17.4,NA,NA,NA,NA,NA,NA,NA
429,40626,40626,PIVI2,3.6,9,A,Snag,F,3,2,NA,2,20,20,19.5,NA,NA,NA,NA,NA,NA,NA,NA,DS,X,NA,13.6,389,438034.793,135983.497
4210,40626,40626,PIVI2,3.6,9,B,Log,F,4,2,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,20,9.5,NA,NA,NA,13.6,389,438034.793,135983.497
4210,40633,40633,PIVI2,1.3,1.6,B,Log,F,3,2,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.6,9.3,NA,NA,NA,11.3,391.6,438032.493,135986.097
4210,40633,40633,PIVI2,1.3,1.6,A,Snag,F,3,2,NA,3.4,18.6,22.7,21.8,NA,NA,NA,NA,NA,NA,NA,NA,DS,X,NA,11.3,391.6,438032.493,135986.097
4110,40722,40722,PIVI2,1.1,9.9,A,Log,C,3,2,A,NA,NA,20.5,NA,NA,NA,NA,NA,NA,NA,31.9,4.8,LI,SP; WDBH,species entered incorrectly,1.1,399.9,438022.293,135994.397
443,40772,40772,FAGR,6.8,9.8,A,Snag,F,4,2,NA,11.3,NA,66.1,64.8,NA,NA,NA,NA,NA,NA,NA,NA,DS,MT; X,NA,36.8,329.8,438057.993,135924.297
4310,40808,40808,COFL2,3.2,3.6,B,Log,F,2,1,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.7,8.6,NA,NA,NA,23.2,393.6,438044.393,135988.097
4310,40808,40808,COFL2,3.2,3.6,C,Log,F,2,1,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,6.1,NA,NA,NA,23.2,393.6,438044.393,135988.097
4310,40808,40808,COFL2,3.2,3.6,A,Snag,C,2,1,NA,NA,8.6,11.3,11.5,NA,NA,NA,NA,NA,NA,NA,NA,DS,NA,NA,23.2,393.6,438044.393,135988.097
462,40852,40852,CARYA,9.5,4,A,Log,C,2,1,G,NA,NA,NA,NA,NA,2.5,4,NA,NA,NA,42.5,30,NA,NA,NA,NA,NA,NA,NA
461,40857,40857,FAGR,1.9,9.9,B,Log,C,3,2,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.6,10.7,NA,NA,NA,51.9,309.9,438073.093,135904.397
461,40857,40857,FAGR,1.9,9.9,A,Snag,F,2,1,NA,3.6,22.6,19.6,20.6,NA,NA,NA,NA,NA,NA,NA,NA,LI,A; X,NA,51.9,309.9,438073.093,135904.397
462,40858,40858,CATO6,4.3,1.3,B,Log,C,2,1,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.3,15.6,NA,NA,NA,54.3,311.3,438075.493,135905.797
462,40858,40858,CATO6,4.3,1.3,A,Snag,F,3,2,NA,2.6,21.8,24.1,19.2,NA,NA,NA,NA,NA,NA,NA,NA,LI,A,NA,54.3,311.3,438075.493,135905.797
462,40862,40862,CATO6,3.4,5.6,A,Log,NA,2,1,NA,NA,NA,34.6,34.8,NA,NA,NA,NA,NA,NA,NA,NA,DC,MT,NA,53.4,315.6,NA,NA
463,40866,40866,FAGR,5.4,5.1,B,Log,F,2,1,G,NA,NA,53.8,NA,NA,NA,NA,NA,NA,NA,38.4,42,DS,A; IR; X,NA,55.4,325.1,438076.593,135919.597
463,40866,40866,FAGR,5.4,5.1,A,Snag,F,2,1,NA,2.3,38.4,53.8,51.6,NA,NA,NA,NA,NA,NA,NA,NA,DS,A; IR; X,NA,55.4,325.1,438076.593,135919.597
456,40962,40962,COFL2,7.7,1.9,B,Log,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2,4.9,NA,NA,NA,NA,NA,NA,NA
456,40970,40970,LITU,3.2,7.7,A,Snag,C,1,1,NA,16.6,NA,33.1,32,NA,NA,NA,NA,NA,NA,NA,NA,LI,X,NA,43.2,357.7,438064.393,135952.197
458,40997,40997,UNKN,8.8,0.3,B,Log,C,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.3,16,NA,NA,NA,48.8,370.3,438069.993,135964.797
458,40997,40997,UNKN,8.8,0.3,A,Snag,F,4,2,NA,NA,16,17.3,16.9,NA,NA,NA,NA,NA,NA,NA,NA,DS,IR,NA,48.8,370.3,438069.993,135964.797
473,41017,41017,CATO6,7.6,4,A,Log,F,4,2,G,NA,NA,28.2,NA,NA,NA,NA,NA,NA,NA,39.1,25.8,DS,MT; Q,NA,67.6,324,438088.793,135918.497
483,41017,41017,CATO6,7.6,4,B,Log,F,4,2,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.8,22.8,NA,NA,NA,67.6,324,438088.793,135918.497
483,41017,41017,CATO6,7.6,4,C,Log,F,3,2,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.3,12.6,NA,NA,NA,67.6,324,438088.793,135918.497
476,41067,41067,CATO6,2.8,9.2,A,Log,NA,4,2,G,NA,NA,NA,NA,NA,62.9,359.2,NA,NA,12.5,22.2,17.5,NA,NA,NA,NA,NA,NA,NA
477,41075,41075,FAGR,7.3,7,A,Log,NA,5,3,G,NA,NA,NA,NA,not measurable,67.3,366.6,59.1,357.9,11.8,32.2,15.2,NA,NA,NA,NA,NA,NA,NA
477,41077,41077,UNKN,6.7,10,A,Log,NA,4,2,G,NA,NA,NA,NA,NA,66.7,369.9,64.1,375.1,5.4,27.8,25.5,NA,NA,NA,NA,NA,NA,NA
465,41106,41106,UNKN,8,7.9,A,Snag,F,4,2,NA,2.3,NA,22.1,21.8,NA,NA,NA,NA,NA,NA,NA,NA,DS,IR,NA,58,347.9,438079.193,135942.397
468,41133,41133,QUAL,6.4,2.4,A,Snag,C,1,1,NA,5,NA,69.6,69.6,Q last week of August,NA,NA,NA,NA,NA,NA,NA,LI,I,NA,56.4,372.4,438077.593,135966.897
468,41135,41135,LITU,2.7,4,A,Snag,NA,NA,NA,NA,NA,NA,45.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,X,NA,52.7,374,438073.893,135968.497
468,41143,41143,FAGR,3.1,8.2,B,Log,NA,4,2,G,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,22.8,22.4,LI,A,NA,53.1,378.2,438074.293,135972.697
468,41143,41143,FAGR,3.1,8.2,A,Snag,NA,3,2,NA,5,22.8,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,LI,A,NA,53.1,378.2,438074.293,135972.697
448,41230,41230,CACA18,3,5,A,Log,NA,2,1,NA,NA,NA,NA,NA,NA,33.1,375.1,34.1,369.1,5.5,12.2,6.7,NA,NA,NA,NA,NA,NA,NA
4410,41292,41292,COFL2,0.5,2.8,A,Snag,C,1,1,NA,7,NA,10.6,10.3,NA,NA,NA,NA,NA,NA,NA,NA,LI,SP,NA,30.5,392.8,438051.693,135987.297
458,41308,41308,ACRU,8.5,7.1,B,Log,F,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.2,14.3,NA,NA,NA,48.5,377.1,438069.693,135971.597
458,41308,41308,ACRU,8.5,7.1,C,Log,F,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.2,13.9,NA,NA,NA,48.5,377.1,438069.693,135971.597
458,41308,41308,ACRU,8.5,7.1,A,Snag,F,1,1,NA,5.2,17.2,21,20.7,Q,NA,NA,NA,NA,NA,NA,NA,LI,Q,NA,48.5,377.1,438069.693,135971.597
4710,41459,41459,LITU,9.7,6.6,A,Snag,NA,NA,NA,NA,NA,NA,22.5,NA,"DC, xy switched",NA,NA,NA,NA,NA,NA,NA,DS,RS,NA,69.7,396.6,438090.893,135991.097
4101,41481,41481,QURU,1.5,0.5,A,Snag,NA,2,1,NA,19.4,NA,60.5,60.6,NA,NA,NA,NA,NA,NA,NA,NA,DS,NA,NA,91.5,300.5,438112.693,135894.997
4102,41490,41490,UNKN,3.7,4.9,A,Log,NA,4,2,G,NA,NA,NA,NA,NA,94,314.8,87.8,305.1,10.9,47.1,41.9,NA,NA,NA,NA,NA,NA,NA
4103,41500,41500,UNKN,2.9,7.2,A,Log,NA,3,2,G,NA,NA,NA,NA,NA,92.9,327.4,91.4,323.3,4.1,6.8,5.2,NA,NA,NA,NA,NA,NA,NA
492,41548,41548,CACA18,7.4,8.8,A,Log,NA,5,3,G,NA,NA,NA,NA,NA,87.5,319.1,91.6,313,6.9,19.2,17.3,NA,NA,NA,NA,NA,NA,NA
482,41629,41629,CAGL8,1,3.7,A,Snag,NA,2,1,NA,NA,15.5,21.6,21.5,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,71,313.7,438092.193,135908.197
482,41634,41634,CATO6,1.8,7.8,A,Log,F,3,2,G,NA,NA,25.3,NA,NA,NA,NA,NA,NA,NA,23.4,16.9,DS,X,NA,71.8,317.8,438092.993,135912.297
484,41657,41657,CARYA,5.8,4,A,Log,F,3,2,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.4,42.9,NA,NA,NA,75.8,334,438096.993,135928.497
484,41657,41657,CARYA,5.8,4,B,Log,F,3,2,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.8,19.3,NA,NA,NA,75.8,334,438096.993,135928.497
4105,41732,41732,QUAL,1.1,1.6,A,Snag,C,2,1,NA,15,NA,21.7,21.5,NA,NA,NA,NA,NA,NA,NA,NA,LI,X,NA,91.1,341.6,438112.293,135936.097
4106,41756,41756,QUAL,1.8,3.2,A,Snag,C,1,1,NA,NA,NA,24.2,24.2,NA,NA,NA,NA,NA,NA,NA,NA,LI,MA,NA,91.8,353.2,438112.993,135947.697
4910,41871,41871,ACRU,1.4,2,A,Log,C,4,2,G,NA,NA,23.9,NA,DC,NA,NA,NA,NA,NA,26.6,17.5,DS,NA,NA,81.4,392,438102.593,135986.497
469,41901,41901,QUAL,2.2,2,B,Log,F,3,2,G,NA,NA,35.7,NA,DC,NA,NA,NA,NA,NA,14,11.8,DS,X,NA,72.2,372,438093.393,135966.497
488,41901,41901,QUAL,2.2,2,A,Log,F,2,1,G,NA,NA,35.7,NA,DC,NA,NA,NA,NA,NA,42.1,19.3,DS,X,NA,72.2,372,438093.393,135966.497
487,41906,41906,CAGL8,7.4,1.1,A,Log,NA,2,1,NA,NA,NA,NA,NA,not found,77.5,371,60.2,380.6,19.5,35.2,22.3,NA,NA,NA,NA,NA,NA,NA
488,41922,41922,LIST2,5.6,2.4,C,Log,F,2,1,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,9,NA,NA,NA,75.6,382.4,438096.793,135976.897
489,41922,41922,LIST2,5.6,2.4,B,Log,F,2,1,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.6,11.8,NA,NA,NA,75.6,382.4,438096.793,135976.897
489,41922,41922,LIST2,5.6,2.4,A,Snag,C,2,1,NA,2.3,17.6,15.1,14.7,NA,NA,NA,NA,NA,NA,NA,NA,DS,NA,NA,75.6,382.4,438096.793,135976.897
4810,41934,41934,CAGL8,6.4,1,A,Log,C,4,2,G,NA,NA,49.1,NA,DC,NA,NA,NA,NA,NA,38.8,29.2,DS,NA,NA,76.4,391,438097.593,135985.497
4810,41952,41952,ACRU,1.8,10,B,Log,C,4,2,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2,8.3,NA,NA,NA,71.8,400,438092.993,135994.497
4810,41952,41952,ACRU,1.8,10,A,Snag,F,2,1,NA,4,11.2,12.1,12.1,NA,NA,NA,NA,NA,NA,NA,NA,LI,X,NA,71.8,400,438092.993,135994.497
1243,42439,42439,FAGR,0.3,0.2,NA,NF,NA,NA,NA,NA,NA,NA,15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,X,NA,230.3,320.2,438251.493,135914.697
12210,42528,42528,CATO6,3.1,2.6,A,Log,NA,2,1,NA,NA,NA,28.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,DC,MT,NA,213.1,392.6,438234.293,135987.097
1254,42659,42658,CACA18,4.1,6.2,A,Snag,C,1,1,NA,6,NA,10.8,10.8,NA,NA,NA,NA,NA,NA,NA,NA,LI,SEC; A,NA,244.1,336.2,438265.293,135930.697
1254,42659,42659,CACA18,4.1,6.2,A,Snag,C,1,1,NA,5,NA,15,15,NA,NA,NA,NA,NA,NA,NA,NA,LI,M,NA,244.1,336.2,438265.293,135930.697
1255,42673,42673,CACA18,1.1,2.9,NA,NF,NA,NA,NA,NA,NA,NA,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,NA,NA,241.1,342.9,438262.293,135937.397
1247,42706,42706,LITU,5.3,4.7,A,Log,F,4,2,G,NA,NA,46.3,NA,NA,NA,NA,NA,NA,14,47.4,24.5,DS,X,NA,235.3,364.7,438256.493,135959.197
1258,42835,42835,CATO6,9.7,5,A,Snag,F,2,1,NA,1.5,NA,23.6,20,NA,NA,NA,NA,NA,NA,NA,NA,DS,X,NA,249.7,375,438270.893,135969.497
1258,42841,42841,UNKN,10,10,A,Log,F,4,2,A,NA,NA,44.5,NA,NA,NA,NA,NA,NA,5.5,31.5,43.2,DS,X,NA,250,380,438271.193,135974.497
121010,43741,43741,LIST2,7.5,1.9,A,Snag,F,3,2,NA,10,NA,36.5,36.3,NA,NA,NA,NA,NA,NA,NA,NA,DS,MT; X,NA,297.5,391.9,438318.693,135986.397
536,50089,50089,FRPE,1.3,2.3,A,Snag,C,2,1,NA,13,NA,24.7,25.4,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,121.3,52.3,438142.493,135646.797
536,50094,50094,FRPE,9.5,4.9,A,Snag,C,1,1,NA,12.8,NA,25.4,27.5,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,"""TORAR, PAQU2 and SMILAX on it""",129.5,54.9,438150.693,135649.397
536,50099,50099,FRPE,7,9,A,Snag,C,2,1,NA,20.6,NA,55.9,56.7,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,127,59,438148.193,135653.497
524,50149,50149,FRPE,5.7,9.9,A,Snag,C,1,1,NA,10.4,NA,11.3,12.3,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,115.7,39.9,438136.893,135634.397
515,50182,50182,FRPE,1.2,3.4,A,Snag,C,2,1,NA,21.8,NA,40.6,40.9,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,checked,101.2,43.4,438122.393,135637.897
515,50197,50197,FRPE,1,8.5,A,Snag,C,2,1,NA,16.6,NA,26,26.3,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,101,48.5,438122.193,135642.997
515,50198,50198,FRPE,0.3,7.5,A,Snag,C,2,1,NA,16.8,NA,55,55.7,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,100.3,47.5,438121.493,135641.997
515,50199,50199,FRPE,5.6,9.8,A,Snag,C,2,1,NA,10.8,NA,15.4,16.3,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,105.6,49.8,438126.793,135644.297
516,50200,50200,FRPE,8,0.6,A,Snag,C,1,1,NA,18.2,NA,35.5,35.9,NA,NA,NA,NA,NA,NA,NA,NA,LI,M,NA,108,50.6,438129.193,135645.097
531,50209,50209,FAGR,9.4,8.6,A,Log,C,2,1,G,NA,NA,60.3,NA,NA,NA,NA,NA,NA,10,55,53.5,LI,I; IR,NA,129.4,8.6,438150.593,135603.097
525,50354,50354,FRPE,4.2,3.7,A,Snag,C,2,1,NA,19,NA,34.6,34.8,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,114.2,43.7,438135.393,135638.197
525,50356,50356,FRPE,0.5,1.4,A,Snag,F,2,1,NA,10.2,NA,21.8,21.8,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,110.5,41.4,438131.693,135635.897
525,50360,50360,FRPE,0.8,1.8,A,Snag,C,2,1,NA,19.4,NA,36.7,37.9,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,110.8,41.8,438131.993,135636.297
525,50376,50376,FRPE,5,9.7,A,Snag,C,1,1,NA,13,NA,49.2,49.6,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,115,49.7,438136.193,135644.197
525,50377,50377,LITU,4.6,8.7,A,Snag,C,1,1,NA,20,NA,37.4,37.5,FRPE,NA,NA,NA,NA,NA,NA,NA,LI,SP,NA,114.6,48.7,438135.793,135643.197
526,50393,50393,FRPE,2.4,3.5,A,Snag,C,1,1,NA,16.5,NA,39,38.6,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,112.4,53.5,438133.593,135647.997
526,50397,50397,FRPE,8.1,9.3,A,Snag,C,1,1,NA,15.4,NA,38.3,38.3,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,118.1,59.3,438139.293,135653.797
527,50400,50400,FRPE,5.5,1,A,Snag,C,1,1,NA,11,NA,20.5,19.4,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,115.5,61,438136.693,135655.497
551,50402,50402,FAGR,5.7,2.8,B,Log,F,4,2,G,NA,NA,47.8,NA,NA,NA,NA,NA,NA,7,40,28.3,DS,MT; X,NA,145.7,2.8,438166.893,135597.297
551,50402,50402,FAGR,5.7,2.8,A,Snag,F,4,2,NA,2,40,47.8,45.7,NA,NA,NA,NA,NA,NA,NA,NA,DS,MT; X,NA,145.7,2.8,438166.893,135597.297
561,50495,50495,FAGR,4.1,7,A,Snag,F,4,2,NA,11.6,NA,69.3,61.3,NA,NA,NA,NA,NA,NA,NA,NA,DS,NA,NA,154.1,7,438175.293,135601.497
516,50200,50501,FRPE,7.9,1,A,Snag,F,2,1,NA,13,NA,25.9,25.5,X,NA,NA,NA,NA,NA,NA,NA,LI,SEC; WTAG,NA,107.9,51,438129.093,135645.497
516,50502,50502,FRPE,3.7,2.4,A,Snag,C,1,1,NA,21.4,NA,50.1,49.5,NA,NA,NA,NA,NA,NA,NA,NA,LI,WTAG,NA,103.7,52.4,438124.893,135646.897
517,50506,50506,FRPE,5.1,0.6,A,Snag,C,1,1,NA,16.5,NA,30.8,30.8,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,105.1,60.6,438126.293,135655.097
517,50507,50507,FRPE,1.9,1.9,A,Snag,C,1,1,NA,21.2,NA,41.3,39.8,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,101.9,61.9,438123.093,135656.397
517,50509,50509,ULAM,4.8,3.1,A,Snag,F,3,2,NA,7,NA,34.7,34.6,NA,NA,NA,NA,NA,NA,NA,NA,DS,MT,NA,104.8,63.1,438125.993,135657.597
517,50510,50510,FRPE,7.8,3.2,A,Snag,C,1,1,NA,18,NA,37.8,39,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,107.8,63.2,438128.993,135657.697
517,50511,50511,FRPE,3.1,8.3,A,Snag,C,1,1,NA,20,NA,32.4,31.2,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,103.1,68.3,438124.293,135662.797
518,50522,50522,FRPE,9.4,6.1,A,Snag,C,1,1,NA,14,NA,29.9,29.8,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,109.4,76.1,438130.593,135670.597
5410,50592,50592,ULAM,9.4,5.5,NA,NF,NA,NA,NA,NA,NA,NA,22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,X,NA,139.4,95.5,438160.593,135689.997
527,50603,50603,FRPE,9.5,0.2,A,Snag,C,1,1,NA,11,NA,16.5,17,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,119.5,60.2,438140.693,135654.697
527,50604,50604,FRPE,3.1,7.8,A,Snag,C,1,1,NA,16,NA,51.6,50.6,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,113.1,67.8,438134.293,135662.297
5910,50750,50750,LIST2,5.5,4,A,Snag,F,3,2,NA,12.4,NA,21.2,20.1,NA,NA,NA,NA,NA,NA,NA,NA,DS,X,NA,185.5,94,438206.693,135688.497
5910,50757,50757,FRPE,8.6,1.6,A,Snag,C,1,1,NA,9,NA,28.1,28.6,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,188.6,91.6,438209.793,135686.097
5910,50759,50759,FAGR,8.9,7,A,Snag,F,3,2,NA,4.3,NA,13.1,13.4,NA,NA,NA,NA,NA,NA,NA,NA,LI,M; MT; X,NA,188.9,97,438210.093,135691.497
577,50774,50774,FRPE,4.9,3.8,A,Snag,C,1,1,NA,20,NA,40.8,41.4,NA,NA,NA,NA,NA,NA,NA,NA,LI,SP,NA,164.9,63.8,438186.093,135658.297
576,50775,50775,FRPE,9.7,4.7,A,Snag,C,1,1,NA,11,NA,44.9,46.1,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,169.7,54.7,438190.893,135649.197
575,50884,50884,FRPE,0.7,4.7,A,Snag,C,1,1,NA,17.6,NA,35.1,36.2,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,160.7,44.7,438181.893,135639.197
5101,50898,50898,LITU,7.3,2.2,A,Snag,F,3,2,NA,6,NA,19.8,18.8,NA,NA,NA,NA,NA,NA,NA,NA,DS,MT,NA,197.3,2.2,438218.493,135596.697
599,51003,51003,FRPE,0.5,4,A,Snag,C,1,1,NA,17,NA,29.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,TORAR on it,180.5,84,438201.693,135678.497
599,51031,51031,FRPE,9.3,9.4,A,Log,F,4,2,G,NA,NA,52.2,NA,NA,NA,NA,NA,NA,2,46.5,42,DS,X,half of tree gone,189.3,89.4,438210.493,135683.897
585,51065,51065,FRPE,6.4,7.1,A,Snag,C,1,1,NA,13.6,NA,41.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,LI,H,PY transect to 9.8,176.4,47.1,438197.593,135641.597
596,51094,51094,FRPE,9.7,8.9,A,Snag,C,1,1,NA,12.5,NA,42.5,43.9,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,189.7,58.9,438210.893,135653.397
589,51258,51258,COFL2,4.2,8.1,A,Snag,NA,NA,NA,NA,NA,NA,19.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,X,NA,174.2,88.1,438195.393,135682.597
