QUADNAME,TAG,STEMTAG,SPCODE,QX,QY,BREAKDOWNSTATUS.2014,BDS.2021,PIECE.2014,PIECE.2021,INTEG.2021,DECAYCLASSORIG,DECAYCLASS.2021,GC.2021,HEIGHT.2014,HEIGHT.2021,TOPDIAM.2014,TOPDIAM.2021,DBH,DBH.2021,LENGTH.2014,LENGTH.2021,ANGLE,DIRECTION,NOTES.2014
184,11015,,,,,standing broken,,A,,,2,,,4,,,,17.6,,,,,,no top
187,11051,,,,,lying whole,,A,,,3,,,,,,,16.5,,2.6,,,,
188,11064,,,,,standing broken,,A,,,2,,,2,,9.5,,32,,,,,,"stump split, dbh measured at second piece"
189,no tag,,,,,lying whole,,A,,,3,,,,,,,8.9,,4.4,,,,
189,no tag,,,,,lying whole,,A,,,3,,,,,,,16.3,,14.4,,,,
189,no tag,,,,,lying whole,,A,,,3,,,,,,,55.5,,24.6,,,,
191,10801,,,,,standing broken,,A,,,3,,,2.1,,29.6,,36.9,,,,,,
191,10801,,,,,standing broken,,B,,,3,,,,,,,29.6,,15.6,,,,
194,no tag,,,,,stump,,A,,,3,,,,,,,,,,,,,
194,10871,,,,,standing broken,,A,,,3,,,1.3,,,,13.3,,,,,,no top
196,11207,,,,,standing dead,,A,,,3,,,,,,,10,,,,,,
197,no tag,,,,,stump,,A,,,3,,,,,,,,,,,,,
198,no tag,,,,,lying whole,,A,,,2,,,,,,,47.5,,17.7,,,,
198,no tag,,,,,stump,,A,,,2,,,,,,,,,,,,,
198,no tag,,,,,lying whole,,A,,,2,,,,,,,29,,4.4,,,,
199,no tag,,,,,lying whole,,A,,,3,,,,,,,36,,8.5,,,,
211,20006,,,,,lying whole,,A,,,2,,,,,,,12.5,,9.1,,,,
215,no tag,,,,,lying whole,,A,,,3,,,,,,,21,,18.8,,,,
219,20207,,,,,lying whole,,A,,,2,,,,,,,9.7,,2.7,,,,
222,20109,,,,,lying whole,,A,,,2,,,,,,,11.7,,10.4,,,,
224,20132,,,,,standing broken,,A,,,2,,,2.5,,,,9.8,,,,,,
224,20132,,,,,standing broken,,B,,,2,,,,,,,9.7,,3.2,,,,
226,20145,,,,,standing broken,,A,,,1,,,7,,32.3,,49.2,,,,,,
226,20145,,,,,standing broken,,B,,,1,,,,,,,32.3,,16.2,,,,
229,20180,,,,,standing broken,,A,,,2,,,1.3,,7.5,,8.3,,,,,,
229,20180,,,,,standing broken,,B,,,2,,,,,,,7.5,,3.3,,,,
229,no tag,,,,,stump,,A,,,3,,,,,,,,,,,,,
231,20306,,,,,lying whole,,A,,,2,,,,,,,24.8,,12,,,,
232,21529,,,,,lying whole,,A,,,2,,,,,,,7.6,,6.9,,,,
232,20321,,,,,lying whole,,A,,,3,,,,,,,15.8,,13.8,,,,
233,no tag,,,,,stump,,A,,,3,,,,,,,,,,,,,
233,no tag,,,,,lying whole,,A,,,3,,,,,,,16.7,,10.5,,,,
233,no tag,,,,,lying whole,,A,,,2,,,,,,,14.6,,11.1,,,,
236,20342,,,,,lying whole,,A,,,2,,,,,,,5.4,,6.6,,,,
238,no tag,,,,,lying whole,,A,,,2,,,,,,,5,,5.5,,,,
238,no tag,,,,,lying whole,,A,,,2,,,,,,,3.3,,4,,,,
242,20239,,,,,standing dead,,A,,,2,,,,,,,70.4,,,,,,
244,no tag,,,,,stump,,A,,,3,,,,,,,,,,,,,
244,21541,,,,,standing dead,,A,,,2,,,,,,,39.7,,,,,,
246,20288,,,,,lying whole,,A,,,2,,,,,,,21.8,,7.9,,,,
248,20516,,,,,lying whole,,A,,,2,,,,,,,5.9,,6.2,,,,
