Date,Time_start,Plot,Area,Chambers,Volume,Light,PIECETAG
8/3/21,13:21:00,,,,0,,30242A
8/3/21,13:27:15,,,,0,,20145A
8/3/21,13:33:10,,,,0,,152539A
8/3/21,13:38:50,,,,0,,130346A
8/3/21,13:44:00,,,,0,,150650A
8/3/21,14:04:30,,,,0,,41459A
8/3/21,14:10:15,,,,0,,42706A
8/3/21,14:16:50,,,,0,,30050A
8/3/21,14:22:40,,,,0,,130003A
