Date,Time_start,Plot,Area,Chambers,Volume,Light
8/4/21,13:03:20,,,,,
8/4/21,13:09:00,,,,,
8/4/21,13:16:05,,,,,
8/4/21,13:21:15,,,,,
8/4/21,13:27:00,,,,,
8/4/21,13:32:50,,,,,
8/4/21,13:38:35,,,,,
