"","X","PIECETAG","STEMTAG","QUADNAME","QX.x","QY.x","SPCODE","BDS.2014","BDS.2017","BDS.2021","DC.2014","DC.2017","DC.2021","TOPDIAM.2014","TOPDIAM.2017","TOPDIAM.2021","DBH.2014","DBH.x","DBH.2017","DBH.y","DBH.2019","DBH.2021","LENGTH.2014","LENGTH.2017","LENGTH.2021","HEIGHT.2014","HEIGHT.2017","HEIGHT.2021","BDS.2014_new","BDS.2017_new","BDS.2021_new","DC.2017_3","DC.2021_3"
"11",11,"100715A",100715,1054,NA,NA,"UNKN","lying whole",NA,NA,3,NA,NA,NA,NA,NA,31.2,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"12",12,"100754A",100754,1056,NA,NA,"CACA18","lying whole",NA,NA,2,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"13",13,"100771A",100771,1058,NA,NA,"QUVE","lying whole",NA,NA,2,NA,NA,NA,NA,NA,81.6,NA,NA,NA,NA,NA,7.2,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"14",14,"100772B",100772,1069,NA,NA,NA,"lying whole",NA,NA,2,NA,NA,NA,NA,NA,65.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"15",15,"100773C",100773,1069,NA,NA,"FAGR","lying whole",NA,NA,2,NA,NA,NA,NA,NA,65.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"16",16,"100774D",100774,1069,NA,NA,"FAGR","lying whole",NA,NA,2,NA,NA,NA,NA,NA,65.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"17",17,"100781A",100781,1059,NA,NA,"COFL2","lying whole",NA,NA,2,NA,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"18",18,"100782A",100782,1059,5.7,4.3,"QURU","standing broken","Log","Log",2,4,4,23.3,NA,NA,44.7,44.4,NA,NA,NA,NA,NA,15,NA,17,NA,NA,"snag","log","log",2,2
"19",19,"100782B",100782,1059,NA,NA,"QURU","standing broken",NA,NA,2,NA,NA,NA,NA,NA,23.3,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"20",20,"100790A",100790,10510,NA,NA,"FAGR","standing dead",NA,NA,2,NA,NA,NA,NA,NA,85.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
